"run","wolfreproduce","randomSeed","initialnumberofwolves","initialnumberofsheep","sheepgainfromfood","grassregrowthtime","wolfgainfromfood","sheepreproduce","runlength"
1,8.0,421699233,50,100,6.0,40,17.5,3.0,400.0
2,8.0,421699233,50,100,3.0,40,17.5,3.0,400.0
3,8.0,421699233,50,100,3.0,40,17.5,6.0,400.0
4,3.5,421699233,50,100,3.0,40,17.5,6.0,400.0
5,3.5,421699233,50,100,3.0,40,25.0,6.0,400.0
6,3.5,421699233,50,100,3.0,25,25.0,6.0,400.0
7,6.5,421699233,50,100,5.0,25,15.0,5.0,400.0
8,6.5,421699233,50,100,2.0,25,15.0,5.0,400.0
9,6.5,421699233,50,100,2.0,25,15.0,2.0,400.0
10,6.5,421699233,50,100,2.0,25,22.5,2.0,400.0
11,6.5,421699233,50,100,2.0,40,22.5,2.0,400.0
12,2.0,421699233,50,100,2.0,40,22.5,2.0,400.0
13,8.0,421699233,50,100,2.0,40,25.0,6.0,400.0
14,3.5,421699233,50,100,2.0,40,25.0,6.0,400.0
15,3.5,421699233,50,100,2.0,40,25.0,3.0,400.0
16,3.5,421699233,50,100,2.0,25,25.0,3.0,400.0
17,3.5,421699233,50,100,2.0,25,17.5,3.0,400.0
18,3.5,421699233,50,100,5.0,25,17.5,3.0,400.0
19,2.0,421699233,50,100,5.0,40,17.5,5.0,400.0
20,6.5,421699233,50,100,5.0,40,17.5,5.0,400.0
21,6.5,421699233,50,100,5.0,25,17.5,5.0,400.0
22,6.5,421699233,50,100,5.0,25,25.0,5.0,400.0
23,6.5,421699233,50,100,2.0,25,25.0,5.0,400.0
24,6.5,421699233,50,100,2.0,25,25.0,2.0,400.0
25,8.0,421699233,50,100,3.0,40,25.0,2.0,400.0
26,8.0,421699233,50,100,3.0,40,25.0,5.0,400.0
27,8.0,421699233,50,100,6.0,40,25.0,5.0,400.0
28,8.0,421699233,50,100,6.0,40,17.5,5.0,400.0
29,8.0,421699233,50,100,6.0,25,17.5,5.0,400.0
30,3.5,421699233,50,100,6.0,25,17.5,5.0,400.0
31,3.5,421699233,50,100,3.0,20,25.0,6.0,400.0
32,3.5,421699233,50,100,6.0,20,25.0,6.0,400.0
33,3.5,421699233,50,100,6.0,20,25.0,3.0,400.0
34,3.5,421699233,50,100,6.0,20,17.5,3.0,400.0
35,3.5,421699233,50,100,6.0,35,17.5,3.0,400.0
36,8.0,421699233,50,100,6.0,35,17.5,3.0,400.0
37,3.5,421699233,50,100,6.0,35,17.5,2.0,400.0
38,3.5,421699233,50,100,3.0,35,17.5,2.0,400.0
39,3.5,421699233,50,100,3.0,35,17.5,5.0,400.0
40,3.5,421699233,50,100,3.0,35,25.0,5.0,400.0
41,3.5,421699233,50,100,3.0,20,25.0,5.0,400.0
42,8.0,421699233,50,100,3.0,20,25.0,5.0,400.0
43,2.0,421699233,50,100,5.0,25,15.0,5.0,400.0
44,2.0,421699233,50,100,5.0,40,15.0,5.0,400.0
45,2.0,421699233,50,100,5.0,40,15.0,2.0,400.0
46,2.0,421699233,50,100,5.0,40,22.5,2.0,400.0
47,2.0,421699233,50,100,2.0,40,22.5,2.0,400.0
48,6.5,421699233,50,100,2.0,40,22.5,2.0,400.0
49,2.0,421699233,50,100,6.0,40,25.0,2.0,400.0
50,6.5,421699233,50,100,6.0,40,25.0,2.0,400.0
51,6.5,421699233,50,100,6.0,40,25.0,5.0,400.0
52,6.5,421699233,50,100,6.0,40,17.5,5.0,400.0
53,6.5,421699233,50,100,6.0,25,17.5,5.0,400.0
54,6.5,421699233,50,100,3.0,25,17.5,5.0,400.0
55,8.0,421699233,50,100,2.0,35,22.5,5.0,400.0
56,8.0,421699233,50,100,2.0,35,22.5,2.0,400.0
57,8.0,421699233,50,100,2.0,35,15.0,2.0,400.0
58,8.0,421699233,50,100,2.0,20,15.0,2.0,400.0
59,3.5,421699233,50,100,2.0,20,15.0,2.0,400.0
60,3.5,421699233,50,100,5.0,20,15.0,2.0,400.0
