"run","patientgetCOVIDVaccineStatusisUnvaccinated","patientgetCOVIDVaccineStatusispartiallyvaccinated","patientgetCOVIDVaccineStatusisfullyvaccinated","patientgetFluAVaccineStatusisUnvaccinated","patientgetFluAVaccineStatusispartiallyvaccinated","patientgetFluAVaccineStatusisfullyvaccinated","patientgetFluBVaccineStatusisUnvaccinated","patientgetFluBVaccineStatusispartiallyvaccinated","patientgetFluBVaccineStatusisfullyvaccinated","patientgetCOVIDInfectionStatusisSymptomatic","patientgetCOVIDInfectionStatusisAsymptomatic","patientgetCOVIDInfectionStatusisSusceptible","patientgetFluAInfectionStatusisSymptomatic","patientgetFluAInfectionStatusisAsymptomatic","patientgetFluAInfectionStatusisSusceptible","patientgetFluBInfectionStatusisSymptomatic","patientgetFluBInfectionStatusisAsymptomatic","patientgetFluBInfectionStatusisSusceptible","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetLFDCOVIDResultisPositive","patientgetLFDCOVIDResultisNegative","patientgetLFDFluAResultisPositive","patientgetLFDFluAResultisNegative","patientgetLFDFluBResultisPositive","patientgetLFDFluBResultisNegative","patientgetLIATCOVIDResultisPositive","patientgetLIATCOVIDResultisNegative","patientgetLIATFluAResultisPositive","patientgetLIATFluAResultisNegative","patientgetLIATFluBResultisPositive","patientgetLIATFluBResultisNegative","patientgetLabPCRCOVIDResultisPositive","patientgetLabPCRCOVIDResultisNegative","patientgetLabPCRFluAResultisPositive","patientgetLabPCRFluAResultisNegative","patientgetLabPCRFluBResultisPositive","patientgetLabPCRFluBResultisNegative","patientgetCepheidCOVIDResultisPositive","patientgetCepheidCOVIDResultisNegative","patientgetCepheidFluAResultisPositive","patientgetCepheidFluAResultisNegative","patientgetCepheidFluBResultisPositive","patientgetCepheidFluBResultisNegative","patientgetPHEThreeAltCOVIDResultisPositive","patientgetPHEThreeAltCOVIDResultisNegative"
1,141.0,33.0,1123.0,1032.0,0.0,265.0,1032.0,0.0,265.0,0.0,152.0,1145.0,44.0,33.0,1220.0,44.0,33.0,1220.0,77.0,1220.0,110.0,1741.0,108.0,1188.0,117.0,1179.0,94.0,1202.0,55.0,33.0,28.0,60.0,28.0,60.0,35.0,286.0,14.0,307.0,14.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1122.0
2,121.0,26.0,1148.0,1043.0,0.0,252.0,1043.0,0.0,252.0,0.0,130.0,1165.0,39.0,26.0,1230.0,39.0,26.0,1230.0,65.0,1230.0,95.0,1743.0,100.0,1195.0,114.0,1181.0,94.0,1201.0,40.0,52.0,15.0,77.0,15.0,77.0,31.0,291.0,13.0,309.0,13.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1134.0
3,126.0,29.0,1126.0,1025.0,0.0,256.0,1025.0,0.0,256.0,0.0,131.0,1150.0,41.0,29.0,1211.0,41.0,29.0,1211.0,70.0,1211.0,103.0,1744.0,102.0,1178.0,116.0,1164.0,83.0,1197.0,34.0,46.0,15.0,65.0,15.0,65.0,31.0,276.0,17.0,290.0,17.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1114.0
4,125.0,25.0,1115.0,1012.0,0.0,253.0,1012.0,0.0,253.0,0.0,128.0,1137.0,42.0,25.0,1198.0,42.0,25.0,1198.0,67.0,1198.0,102.0,1717.0,92.0,1173.0,118.0,1147.0,91.0,1174.0,49.0,40.0,25.0,64.0,25.0,64.0,32.0,270.0,17.0,285.0,17.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,1112.0
5,131.0,17.0,1152.0,1064.0,0.0,236.0,1064.0,0.0,236.0,0.0,121.0,1179.0,34.0,17.0,1249.0,34.0,17.0,1249.0,51.0,1249.0,76.0,1771.0,91.0,1207.0,107.0,1191.0,80.0,1218.0,43.0,39.0,19.0,63.0,19.0,63.0,29.0,257.0,9.0,277.0,9.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1155.0
6,123.0,30.0,1108.0,1010.0,0.0,251.0,1010.0,0.0,251.0,0.0,129.0,1132.0,35.0,30.0,1196.0,35.0,30.0,1196.0,65.0,1196.0,93.0,1727.0,96.0,1164.0,114.0,1146.0,85.0,1175.0,43.0,45.0,22.0,66.0,22.0,66.0,29.0,311.0,13.0,327.0,13.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1098.0
7,131.0,19.0,1176.0,1055.0,0.0,271.0,1055.0,0.0,271.0,0.0,123.0,1203.0,36.0,19.0,1271.0,36.0,19.0,1271.0,55.0,1271.0,80.0,1783.0,89.0,1236.0,115.0,1210.0,74.0,1251.0,40.0,36.0,14.0,62.0,14.0,62.0,26.0,294.0,12.0,308.0,12.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,1174.0
8,113.0,20.0,1119.0,1024.0,0.0,228.0,1024.0,0.0,228.0,0.0,107.0,1145.0,35.0,20.0,1197.0,35.0,20.0,1197.0,55.0,1197.0,78.0,1726.0,87.0,1164.0,101.0,1150.0,79.0,1172.0,33.0,32.0,15.0,50.0,15.0,50.0,23.0,306.0,15.0,314.0,15.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1131.0
9,138.0,20.0,1128.0,1037.0,0.0,249.0,1037.0,0.0,249.0,0.0,131.0,1155.0,39.0,20.0,1227.0,39.0,20.0,1227.0,59.0,1227.0,96.0,1750.0,106.0,1179.0,104.0,1181.0,72.0,1213.0,38.0,43.0,15.0,66.0,15.0,66.0,28.0,283.0,11.0,300.0,11.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1128.0
10,140.0,24.0,1088.0,996.0,0.0,256.0,996.0,0.0,256.0,0.0,141.0,1111.0,49.0,24.0,1179.0,49.0,24.0,1179.0,73.0,1179.0,94.0,1711.0,98.0,1153.0,115.0,1136.0,87.0,1164.0,56.0,43.0,29.0,70.0,29.0,70.0,33.0,269.0,17.0,285.0,17.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1088.0
