"agentName","patientgetAliveTime"
"193",1440
"164",1320
"139",1440
"190",1200
"270",1560
"95",1560
"128",1440
"266",1560
"218",1380
"106",1320
"202",1440
"208",1860
"149",1260
"116",1380
"239",1740
"122",1440
"240",1260
"108",1440
"111",1320
"166",1440
"228",1500
"167",1440
"145",1680
"158",1500
"207",1440
"138",1380
"109",1560
"210",1440
"88",1380
"263",0
"148",1440
"163",1440
"247",1320
"172",1500
"143",1440
"181",1320
"186",1620
"226",1320
"104",1440
"112",1500
"222",1320
"105",1560
"220",1500
"177",1260
"205",1500
"213",1440
"204",1860
"234",0
"178",1440
"257",1440
"244",1440
"161",1380
"170",1260
"119",1500
"130",1620
"238",1440
"211",1440
"102",1500
"199",1320
"157",1380
"229",1320
"96",1440
"115",0
"250",1260
"134",1620
"242",1560
"90",1320
"150",1260
"142",1500
"91",1440
"118",3840
"126",1560
"121",1380
"212",1380
"265",1260
"215",1380
"152",1440
"176",1320
"182",2040
"132",1380
"196",1440
"124",1200
"236",1560
"252",1380
"153",1440
"173",1380
"155",1380
"274",1500
"192",1860
"200",1500
"131",0
"125",1320
"114",1440
"141",1380
"255",1440
"197",1320
"89",0
"267",1500
"271",1320
"113",1860
"206",1500
"245",1380
"93",1440
"248",1320
"230",1380
"97",1620
"140",1440
"251",1980
"110",1440
"174",1260
"235",1500
"107",1320
"156",1500
"168",1440
"189",1560
"180",1320
"101",1920
"123",1380
"165",1680
"194",1260
"183",1320
"233",1380
"261",1380
"227",1800
"217",1320
"223",1380
"94",1380
"103",1560
"209",1380
"133",1260
"231",1560
"99",1560
"151",1200
"162",0
"171",1500
"219",1260
"254",1320
"179",1440
"185",1440
"246",1500
"201",1500
"241",1380
"191",1380
"169",1440
"146",1440
"98",0
"269",1200
"184",1860
"135",1620
"224",1380
"273",1260
"144",1440
"237",1320
"120",1380
"127",1560
"260",1260
"214",1380
"259",1860
"268",1320
"195",1440
"160",1200
"249",1380
"258",1560
"159",1380
"136",1440
"187",1440
"264",1380
"147",1620
"198",1260
"203",1500
"129",1440
"243",1440
"256",1260
"154",1380
"221",1500
"272",1260
"137",1320
"92",1680
"216",1260
"188",1440
"175",1440
"117",1320
"225",1920
"100",0
"275",1260
"262",1440
"232",1440
"253",1440
"354",1500
"386",1260
"337",1440
"466",1380
"468",1500
"462",1560
"349",1200
"326",1320
"408",1380
"279",1560
"335",1320
"367",1200
"356",0
"365",1320
"329",1440
"421",1440
"441",1380
"263",0
"302",1440
"414",1440
"401",1440
"296",1320
"289",1320
"438",1320
"440",1200
"415",1440
"454",1320
"409",1740
"447",1440
"320",1440
"364",1380
"318",1440
"324",1440
"436",1440
"351",1380
"295",1440
"410",1320
"444",1320
"276",1380
"412",2100
"476",1440
"317",0
"345",1320
"470",1200
"353",1440
"460",1260
"292",0
"361",1860
"370",1200
"360",1860
"464",1440
"131",0
"366",1500
"311",1200
"472",1320
"89",0
"450",1380
"330",1380
"377",1440
"474",1200
"463",1500
"434",1200
"435",2040
"333",1440
"336",1260
"453",1380
"346",1560
"403",2040
"431",1440
"347",1200
"368",1320
"433",1440
"406",1320
"371",1380
"471",1320
"390",1320
"355",1980
"291",1860
"312",1440
"344",0
"456",1440
"445",1320
"457",1260
"449",1380
"405",1740
"461",1380
"328",1560
"467",1260
"162",0
"325",1620
"391",1440
"459",1440
"475",1260
"277",1380
"293",1440
"417",1320
"294",1440
"374",1380
"388",1440
"426",0
"350",1380
"452",1380
"308",1500
"343",1740
"404",1380
"282",1320
"383",1320
"100",0
"283",1380
"407",1380
"465",1500
"331",1320
"382",1800
"413",1980
"469",1320
"327",1500
"321",1500
"428",1380
"376",1320
"305",1320
"315",1320
"285",1440
"348",1680
"309",1440
"448",1500
"299",1500
"420",1260
"369",1260
"387",1560
"280",1320
"281",1440
"477",1380
"316",1380
"234",0
"310",1260
"352",1380
"379",0
"375",1560
"313",1560
"411",1620
"473",1320
"392",1500
"425",1320
"418",1200
"322",1260
"397",1260
"300",1440
"115",0
"458",1260
"389",1320
"439",1200
"288",1200
"442",1380
"319",1380
"446",1620
"423",1320
"443",0
"290",1380
"357",1440
"372",1560
"381",1200
"395",1380
"478",1440
"362",1440
"429",1260
"422",1380
"287",1200
"306",0
"297",1380
"380",1320
"393",1380
"402",1380
"479",0
"314",1200
"437",1320
"432",1440
"334",1500
"307",1500
"339",1380
"385",1440
"394",1380
"303",1560
"323",1260
"373",1440
"301",1560
"455",1440
"416",1500
"338",1320
"278",1320
"363",1560
"427",1440
"98",0
"284",1380
"398",4200
"424",1380
"304",1200
"378",1500
"419",1260
"332",1440
"384",1260
"396",1560
"399",1320
"341",1500
"286",1380
"358",1440
"342",1320
"359",1500
"451",1500
"400",1500
"298",1560
"430",1320
"340",1440
