"agentName","patientgetAliveTime"
"267",0
"518",0
"86",48600
"170",0
"584",0
"275",0
"548",0
"385",0
"417",0
"466",0
"122",0
"338",0
"374",0
"279",0
"64",31380
"322",0
"42",25020
"364",0
"356",0
"401",0
"494",0
"54",29940
"36",20760
"319",0
"431",0
"467",0
"45",24540
"309",0
"521",0
"288",0
"331",0
"462",0
"406",0
"41",8100
"359",0
"602",0
"392",0
"451",0
"464",0
"601",0
"223",0
"471",0
"531",0
"332",0
"357",0
"297",0
"437",0
"535",0
"502",0
"350",0
"399",0
"161",119760
"433",0
"299",0
"425",0
"232",177600
"546",0
"581",0
"210",0
"204",148560
"237",183000
"249",0
"452",0
"563",0
"119",0
"213",154140
"582",0
"593",0
"310",0
"321",0
"367",0
"276",0
"290",0
"117",69900
"233",0
"459",0
"511",0
"162",120780
"57",33900
"481",0
"206",149820
"435",0
"499",0
"95",0
"62",30540
"70",39840
"540",0
"515",0
"570",0
"142",0
"448",0
"67",37320
"145",0
"483",0
"23",10680
"147",101280
"137",84600
"218",158520
"219",160140
"328",0
"400",0
"269",0
"184",0
"29",12420
"394",0
"349",0
"352",0
"375",0
"416",0
"156",113940
"61",30360
"274",0
"139",93300
"541",0
"395",0
"370",0
"143",95460
"409",0
"472",0
"344",0
"335",0
"373",0
"116",0
"430",0
"260",0
"159",116280
"528",0
"75",41640
"380",0
"329",0
"227",0
"423",0
"60",35880
"208",152040
"289",0
"484",0
"461",0
"580",0
"585",0
"263",0
"25",11040
"510",0
"120",71820
"408",0
"110",64140
"315",0
"551",0
"114",0
"296",0
"327",0
"573",0
"259",0
"330",0
"141",93060
"109",0
"127",0
"474",0
"460",0
"146",99240
"39",16800
"480",0
"558",0
"186",129840
"202",146160
"243",0
"35",14160
"76",40380
"258",0
"523",0
"256",0
"354",0
"89",53340
"261",0
"532",0
"419",0
"224",165360
"530",0
"376",0
"469",0
"235",179160
"545",0
"113",65700
"553",0
"339",0
"470",0
"485",0
"191",134760
"197",0
"588",0
"92",0
"568",0
"251",0
"594",0
"487",0
"205",0
"52",15180
"245",0
"427",0
"254",0
"69",36060
"130",74040
"239",185400
"311",0
"80",48120
"28",11460
"353",0
"536",0
"292",0
"99",55680
"463",0
"440",0
"192",0
"479",0
"363",0
"369",0
"555",0
"493",0
"26",13140
"526",0
"341",0
"104",56400
"560",0
"72",40020
"542",0
"324",0
"468",0
"172",129360
"508",0
"63",37440
"66",38880
"201",144840
"544",0
"438",0
"88",30120
"180",0
"316",0
"377",0
"152",107640
"132",82980
"22",20580
"489",0
"482",0
"248",0
"124",0
"504",0
"333",0
"393",0
"534",0
"133",0
"583",0
"312",0
"268",0
"402",0
"552",0
"177",0
"280",0
"194",136320
"398",0
"185",127680
"190",0
"298",0
"383",0
"34",5040
"93",52080
"543",0
"556",0
"488",0
"567",0
"336",0
"476",0
"557",0
"171",127260
"228",171540
"151",103800
"291",0
"586",0
"252",0
"97",55260
"47",8460
"128",0
"424",0
"495",0
"293",0
"111",61800
"412",0
"525",0
"163",122880
"382",0
"266",0
"182",127740
"90",38880
"537",0
"242",189360
"94",51240
"342",0
"318",0
"65",33900
"135",0
"115",37200
"283",0
"81",49620
"317",0
"340",0
"107",0
"429",0
"31",13200
"348",0
"78",44280
"106",58620
"200",142800
"520",0
"396",0
"153",108540
"432",0
"565",0
"414",0
"199",0
"444",0
"600",0
"550",0
"596",0
"387",0
"30",3300
"287",0
"522",0
"539",0
"71",38760
"209",153060
"125",40200
"308",0
"337",0
"155",112020
"108",59880
"167",0
"313",0
"40",20400
"149",103320
"384",0
"32",21060
"325",0
"428",0
"282",0
"294",0
"236",0
"514",0
"397",0
"220",0
"230",0
"391",0
"422",0
"442",0
"507",0
"247",0
"559",0
"241",0
"51",23820
"179",127200
"74",40200
"569",0
"164",127080
"50",22800
"68",37680
"176",0
"215",154920
"154",110400
"20",14100
"98",0
"529",0
"519",0
"257",0
"439",0
"503",0
"576",0
"222",164520
"38",6000
"490",0
"240",187440
"53",26160
"368",0
"85",49800
"175",129060
"365",0
"595",0
"465",0
"303",0
"48",20340
"59",29040
"420",0
"187",0
"277",0
"496",0
"306",0
"323",0
"443",0
"343",0
"214",0
"229",173100
"378",0
"562",0
"410",0
"346",0
"73",0
"27",12420
"244",191220
"605",0
"100",0
"188",131340
"477",0
"198",140640
"506",0
"606",0
"475",0
"183",124080
"84",51540
"102",0
"500",0
"362",0
"492",0
"345",0
"533",0
"238",0
"453",0
"166",127020
"278",0
"379",0
"447",0
"112",66420
"37",16440
"320",0
"212",0
"221",162360
"547",0
"193",0
"285",0
"281",0
"49",34860
"158",0
"347",0
"361",0
"366",0
"538",0
"360",0
"165",123300
"174",128160
"21",13020
"265",0
"445",0
"264",0
"574",0
"597",0
"140",0
"434",0
"415",0
"591",0
"255",0
"554",0
"87",27300
"371",0
"271",0
"473",0
"253",0
"386",0
"196",140160
"527",0
"501",0
"455",0
"498",0
"207",0
"458",0
"389",0
"234",181860
"246",0
"407",0
"334",0
"211",0
"513",0
"44",21600
"58",31020
"195",137880
"300",0
"314",0
"603",0
"388",0
"56",30300
"608",0
"456",0
"168",0
"381",0
"131",76500
"305",0
"123",73860
"148",0
"390",0
"517",0
"404",0
"561",0
"286",0
"33",13920
"302",0
"599",0
"457",0
"571",0
"46",21540
"121",73440
"421",0
"441",0
"358",0
"564",0
"566",0
"598",0
"609",0
"83",49800
"105",0
"101",56520
"505",0
"126",74640
"589",0
"77",43620
"587",0
"351",0
"607",0
"262",0
"284",0
"355",0
"150",104760
"118",65040
"575",0
"516",0
"604",0
"478",0
"103",60900
"129",0
"272",0
"43",17820
"418",0
"270",0
"454",0
"231",175500
"96",53640
"572",0
"577",0
"217",157500
"436",0
"169",126600
"295",0
"405",0
"82",46320
"203",0
"181",126300
"446",0
"301",0
"450",0
"134",82980
"590",0
"138",0
"413",0
"549",0
"509",0
"512",0
"24",10980
"304",0
"307",0
"216",0
"178",126300
"79",47460
"497",0
"55",46260
"157",115740
"189",133620
"250",0
"592",0
"173",129000
"578",0
"486",0
"91",49200
"372",0
"491",0
"225",167400
"136",89760
"326",0
"144",94320
"273",0
"579",0
"426",0
"226",169380
"160",117720
"449",0
"411",0
"524",0
"403",0
