"agentName","patientgetAliveTime"
"125",0
"71",0
"111",0
"148",0
"130",0
"98",0
"60",0
"64",0
"34",0
"109",0
"115",0
"157",0
"107",0
"160",0
"31",0
"112",0
"47",13980
"24",0
"32",11520
"37",0
"119",0
"161",0
"145",0
"80",0
"49",0
"70",0
"141",0
"165",0
"132",0
"26",0
"53",0
"117",0
"62",0
"88",13560
"122",0
"95",0
"102",18300
"123",0
"38",0
"129",0
"103",0
"30",0
"23",0
"48",0
"59",0
"101",0
"124",0
"120",0
"28",0
"76",0
"61",14160
"77",0
"84",0
"134",0
"65",0
"146",0
"167",0
"90",23160
"116",0
"63",0
"163",0
"46",0
"40",0
"154",0
"29",0
"51",0
"159",0
"27",0
"140",0
"108",0
"67",15300
"22",0
"72",0
"81",13620
"91",0
"155",0
"25",0
"56",0
"126",0
"164",0
"158",0
"66",0
"136",0
"147",0
"162",0
"138",0
"152",0
"149",0
"68",0
"36",0
"100",0
"73",0
"75",0
"20",0
"69",13980
"35",11400
"39",11280
"78",0
"121",0
"33",0
"82",0
"127",0
"169",0
"113",0
"144",0
"55",0
"85",0
"105",19560
"139",0
"52",0
"94",0
"156",0
"99",14280
"168",0
"21",0
"93",0
"44",0
"50",12300
"83",0
"131",0
"104",0
"110",0
"58",12600
"96",0
"97",0
"133",0
"151",0
"57",0
"79",0
"128",0
"137",0
"106",0
"166",0
"92",12840
"118",0
"74",0
"142",0
"143",0
"45",0
"86",0
"54",12480
"41",12060
"42",0
"153",0
"87",0
"150",0
"89",0
"43",0
"135",0
"114",0
