"agentName","patientgetAliveTime"
"220",0
"249",0
"212",10500
"153",16920
"47",6060
"213",14340
"227",0
"114",8460
"118",10080
"173",20940
"56",10320
"191",18960
"238",0
"198",9480
"214",15120
"181",25200
"188",10200
"211",13020
"125",12480
"186",24660
"252",0
"82",5940
"223",0
"210",9600
"124",8940
"106",7320
"237",0
"161",20280
"119",9720
"51",12600
"101",8820
"88",5820
"216",0
"137",9480
"246",0
"151",16140
"176",13140
"235",0
"83",8460
"202",20760
"200",20100
"167",22500
"195",0
"104",8040
"48",6780
"193",23880
"243",0
"142",15720
"107",16500
"69",6660
"138",12720
"52",9240
"143",15600
"141",20820
"179",23040
"50",6120
"70",6000
"100",6240
"251",0
"53",9960
"126",12000
"160",10140
"92",6420
"157",20760
"127",12300
"147",14820
"65",6780
"174",23760
"63",6540
"67",7260
"105",11880
"71",6600
"236",0
"93",6900
"162",10800
"225",0
"73",7320
"128",9360
"55",6960
"86",6480
"244",0
"155",19800
"229",9840
"60",6000
"156",22440
"80",13680
"136",14220
"61",7800
"203",0
"145",19320
"146",15240
"59",9600
"133",12000
"182",15060
"180",24780
"165",20460
"90",6660
"206",0
"99",7860
"201",19980
"108",9180
"163",10920
"72",7200
"116",8760
"139",10740
"58",6840
"150",14640
"164",24480
"177",11700
"152",8460
"57",6960
"111",10920
"247",0
"250",0
"102",9540
"175",23460
"178",23100
"62",7200
"85",5760
"171",24660
"123",9960
"158",20160
"113",8340
"194",8520
"232",0
"129",12660
"184",15060
"66",6000
"79",6600
"241",0
"49",7200
"242",0
"228",0
"166",24660
"172",20880
"197",11160
"245",0
"96",6660
"204",0
"185",27540
"74",7500
"217",0
"54",6120
"87",6060
"135",14520
"154",17040
"78",5820
"121",11460
"192",22500
"149",8640
"148",17700
"190",18900
"208",12060
"221",0
"122",10440
"224",0
"115",6960
"76",6480
"110",11760
"199",0
"130",9420
"144",10980
"140",18720
"159",6780
"169",9720
"91",7260
"234",0
"248",0
"209",9720
"94",8520
"230",0
"132",9300
"226",0
"64",6180
"112",7920
"98",10620
"103",10920
"75",6060
"81",5880
"77",6480
"187",14700
"183",15780
"84",6780
"219",0
"131",9000
"97",5880
"117",10320
"134",11940
"207",0
"95",6600
"170",8820
"168",7500
"222",0
"68",7080
"109",10440
"205",9420
"215",0
"231",0
"189",19320
"196",7800
"239",0
"120",8280
"89",7260
"233",0
"240",0
"218",0
"220",20520
"249",20280
"333",14220
"367",12240
"300",6060
"311",8100
"321",11700
"428",0
"274",9240
"466",0
"227",23040
"374",28740
"316",8220
"380",32400
"485",0
"448",13320
"471",0
"478",0
"266",15060
"301",10800
"295",9000
"238",18720
"431",0
"282",7740
"272",9060
"296",10320
"338",15600
"393",14100
"252",19020
"369",29640
"396",12900
"381",0
"255",16620
"347",15780
"394",0
"223",14880
"460",0
"445",0
"260",9540
"422",11940
"237",20580
"389",0
"402",0
"421",0
"444",16260
"467",0
"319",8100
"263",13380
"216",16920
"350",11040
"271",9900
"246",18720
"325",13080
"324",12840
"454",0
"413",0
"438",0
"351",22320
"235",20220
"362",30180
"336",16620
"314",12120
"254",7440
"195",24120
"308",7680
"375",28620
"243",8040
"349",26880
"386",15420
"291",5820
"358",13620
"392",0
"391",13800
"420",0
"365",31020
"251",8760
"342",23400
"345",13320
"323",10260
"363",30480
"440",0
"447",0
"484",0
"401",0
"269",14040
"313",12120
"415",0
"356",25200
"385",14640
"453",0
"332",16140
"361",27660
"289",9540
"469",0
"368",26640
"480",0
"344",15120
"236",12180
"267",12060
"486",0
"285",8100
"275",8640
"451",0
"419",0
"299",5940
"265",7680
"225",21180
"339",25320
"479",0
"359",25980
"262",11760
"268",12240
"370",28740
"305",10680
"379",15180
"244",11940
"435",0
"406",12120
"261",7620
"256",15780
"481",0
"259",13560
"294",11340
"322",9960
"309",7560
"337",17520
"334",14760
"317",11400
"456",14760
"473",0
"203",23160
"472",0
"425",18180
"442",0
"366",15000
"327",13620
"373",14700
"307",9120
"382",30900
"376",30720
"424",0
"360",26820
"397",0
"458",0
"206",23880
"434",0
"457",0
"364",9240
"273",8580
"286",8040
"357",25740
"450",14340
"276",10380
"310",10860
"292",6180
"247",20220
"297",9600
"320",12840
"250",19500
"281",9780
"378",30660
"482",0
"452",15360
"405",0
"437",12720
"330",11940
"430",0
"465",0
"290",7140
"284",8520
"384",0
"464",0
"439",0
"232",24300
"463",0
"468",0
"416",16140
"241",10200
"329",17160
"455",14700
"270",7440
"475",0
"487",0
"242",19980
"228",11940
"418",0
"245",18420
"204",26160
"343",16140
"280",8220
"427",0
"412",15960
"253",19320
"390",0
"388",0
"462",0
"217",20460
"404",0
"326",16860
"341",14460
"403",0
"306",11460
"410",16680
"461",0
"298",9960
"383",0
"399",0
"423",0
"409",0
"474",0
"257",15660
"353",25680
"411",0
"221",22500
"355",30180
"400",15960
"441",0
"224",22860
"377",13440
"288",8460
"277",7620
"293",6960
"352",25800
"476",0
"318",7500
"199",25740
"372",9960
"443",17160
"395",0
"483",0
"477",0
"354",26280
"387",0
"328",18240
"279",8520
"426",16440
"234",32220
"312",9720
"248",19260
"398",0
"315",12480
"446",0
"302",8880
"303",6000
"449",14280
"429",0
"459",0
"230",30120
"226",21120
"258",16260
"488",0
"278",8940
"283",8520
"371",14100
"432",0
"219",24780
"414",0
"340",18420
"207",25560
"348",18120
"407",12660
"222",19920
"346",18540
"433",0
"215",21120
"231",31200
"417",14220
"239",8400
"436",0
"335",14460
"408",12780
"304",8340
"331",15360
"233",13500
"240",22020
"470",0
"287",6660
"264",15960
"218",20220
"526",19980
"554",17940
"579",13080
"621",12120
"626",13860
"679",0
"675",0
"523",19800
"647",0
"502",20820
"662",0
"428",40320
"514",34740
"544",20640
"466",18780
"512",34320
"611",0
"610",0
"613",12000
"504",37140
"593",30300
"485",42720
"471",42000
"551",20400
"478",22920
"574",29580
"633",0
"431",42480
"630",0
"568",36120
"645",0
"503",22860
"681",0
"620",0
"381",33960
"394",34620
"460",17100
"624",14040
"445",46260
"497",20160
"671",0
"538",24120
"590",14400
"389",32520
"643",0
"566",28500
"402",35820
"421",40560
"467",44580
"545",14460
"603",11220
"454",47160
"642",15660
"511",26340
"413",43140
"438",44700
"571",17700
"664",0
"625",0
"533",15000
"597",33480
"499",33060
"563",28620
"658",0
"564",13620
"575",32220
"555",28740
"663",0
"673",0
"676",0
"572",31320
"591",15600
"654",0
"392",37620
"420",44040
"507",25320
"632",0
"529",22500
"631",14040
"552",29340
"627",0
"644",16620
"604",0
"657",0
"670",0
"639",0
"440",47220
"447",46200
"484",24120
"401",38340
"622",0
"666",0
"661",0
"415",42540
"558",30060
"594",33180
"453",48420
"469",46440
"480",21060
"634",14520
"605",0
"486",24720
"570",30840
"509",36720
"609",14040
"451",48840
"651",0
"419",40320
"546",27780
"640",16200
"530",27480
"479",20220
"540",22140
"508",26940
"528",23160
"435",45060
"577",33960
"518",27000
"674",0
"481",38460
"646",0
"598",33060
"669",0
"656",0
"561",13860
"650",0
"557",16320
"629",0
"534",17400
"576",14040
"614",0
"549",30000
"585",37140
"587",11400
"473",17160
"659",0
"582",39120
"472",16680
"536",19080
"615",12900
"492",34200
"550",15540
"636",11820
"442",46380
"652",0
"586",29280
"548",28260
"602",0
"424",43320
"588",10020
"397",35400
"515",27000
"649",0
"635",0
"458",15720
"434",43020
"457",18420
"677",0
"537",15720
"501",18300
"543",20460
"619",0
"589",10200
"539",23880
"482",24120
"667",0
"405",41400
"505",21780
"535",33120
"430",42120
"465",41400
"573",31980
"519",30720
"556",14340
"493",33660
"384",33420
"521",27540
"464",42000
"595",15840
"439",44340
"653",0
"463",18240
"606",14940
"665",0
"678",0
"468",22380
"601",0
"567",34980
"475",48360
"487",41880
"623",0
"418",39420
"527",24600
"500",32940
"599",31380
"584",32100
"427",39960
"522",28920
"390",36540
"388",37860
"462",42180
"404",36900
"569",17160
"520",20940
"403",37500
"461",19560
"383",33660
"399",38220
"553",25860
"423",40260
"616",0
"409",38160
"474",19560
"542",13500
"531",12480
"411",38400
"517",27180
"441",45960
"641",15780
"581",37500
"617",0
"476",21660
"560",32400
"608",12900
"655",0
"648",0
"660",0
"668",0
"583",30900
"395",36180
"483",38700
"477",20220
"387",34980
"672",0
"638",14220
"547",26340
"680",0
"498",35100
"490",20940
"494",19920
"524",22500
"398",38400
"580",14040
"532",26400
"607",0
"446",46200
"429",40740
"459",43320
"495",23340
"489",36960
"525",20760
"488",40740
"565",19140
"612",0
"432",45600
"414",44460
"618",10200
"513",27960
"510",27480
"559",26520
"433",42420
"592",15780
"596",31200
"541",23580
"496",19860
"436",47580
"562",31320
"516",27660
"491",24720
"578",35340
"600",13260
"628",14940
"470",42300
"637",15180
"506",22980
"686",26400
"860",0
"837",0
"881",0
"775",27060
"777",22860
"679",33900
"903",0
"675",27420
"647",16320
"776",27120
"662",31500
"852",0
"902",0
"737",9180
"885",0
"611",31260
"779",14340
"910",0
"610",33660
"682",25560
"746",17520
"820",23880
"916",0
"713",7260
"705",17880
"684",24720
"751",17340
"633",33960
"901",0
"834",0
"894",0
"694",22920
"714",6660
"630",33060
"721",9900
"878",0
"645",29400
"758",23340
"838",0
"906",0
"681",26460
"827",0
"620",30360
"839",26640
"845",0
"692",14700
"911",0
"671",18180
"875",0
"840",26040
"643",30600
"706",16740
"909",0
"801",18000
"844",28740
"748",9780
"792",31500
"899",0
"744",18300
"890",0
"842",28440
"862",0
"782",18540
"664",19200
"747",15000
"625",32820
"803",29760
"698",37500
"915",0
"723",12180
"778",14100
"658",28260
"703",19680
"859",0
"767",24180
"847",0
"663",19740
"855",0
"798",26160
"673",28080
"676",29220
"886",0
"913",0
"799",19800
"654",32460
"870",0
"809",31080
"727",21180
"806",29460
"780",15180
"858",0
"632",33540
"716",9840
"753",17700
"796",26280
"818",25020
"695",15300
"627",32820
"793",18720
"604",33480
"657",28380
"670",28800
"639",31800
"745",14460
"708",23460
"622",31020
"883",0
"666",27900
"661",20820
"789",27720
"808",34260
"812",19980
"722",12600
"772",18660
"874",0
"836",0
"823",0
"736",9240
"783",23220
"605",33840
"871",0
"651",17640
"829",0
"907",0
"689",24300
"715",16380
"851",0
"697",14760
"700",14520
"880",0
"674",37860
"730",17940
"757",19080
"646",16680
"769",21360
"669",18120
"768",14160
"872",0
"656",17100
"650",30000
"773",13680
"629",33000
"614",31020
"731",10800
"884",0
"659",28680
"755",9960
"861",0
"652",32340
"699",22860
"718",14460
"693",15900
"873",0
"602",33060
"759",20160
"825",0
"797",30480
"649",29280
"635",33660
"914",0
"888",0
"771",11580
"752",9540
"821",21180
"677",18120
"912",0
"832",0
"720",11520
"741",14340
"710",23520
"810",20220
"770",28140
"619",30480
"863",0
"749",10320
"800",18900
"766",23520
"889",0
"667",27120
"850",0
"853",0
"683",14700
"826",28260
"919",0
"802",18420
"785",16560
"701",14040
"691",11760
"794",19800
"816",21540
"709",16380
"653",16980
"724",10860
"665",28080
"678",28680
"857",0
"696",23040
"601",35580
"891",0
"760",12960
"704",8700
"734",12360
"849",0
"787",16680
"623",31440
"725",13020
"865",0
"756",17220
"786",15840
"814",32280
"830",24960
"685",25800
"876",0
"790",22620
"897",0
"895",0
"728",10740
"848",0
"616",34200
"877",0
"887",0
"815",0
"819",32580
"774",15060
"690",11820
"739",17940
"754",20220
"905",0
"900",0
"740",17640
"784",22320
"892",0
"898",0
"788",22260
"824",25140
