"agentName","patientgetAliveTime"
"35",0
"108",0
"71",15420
"122",0
"152",0
"84",0
"64",0
"94",0
"53",0
"78",0
"23",0
"144",0
"70",0
"121",0
"65",14280
"110",0
"159",0
"24",0
"68",0
"21",0
"130",0
"25",0
"72",0
"147",0
"83",0
"40",12420
"124",0
"133",0
"96",0
"67",14400
"76",0
"59",14400
"44",0
"95",20700
"150",0
"118",0
"55",0
"98",0
"101",13740
"79",0
"145",0
"151",0
"82",0
"73",0
"123",0
"142",0
"143",0
"162",0
"37",11460
"56",23340
"91",0
"50",13740
"51",0
"87",0
"26",0
"66",0
"32",0
"54",14700
"136",0
"154",0
"41",0
"31",0
"34",0
"62",0
"115",0
"52",13800
"42",0
"134",0
"57",0
"128",0
"39",0
"43",11820
"156",0
"77",20400
"22",0
"137",0
"85",14460
"46",23040
"127",0
"149",0
"49",0
"146",0
"29",0
"33",19680
"163",0
"105",14160
"111",0
"92",0
"132",0
"100",0
"155",0
"157",0
"119",0
"116",0
"90",0
"148",0
"158",0
"38",0
"69",0
"103",0
"86",0
"138",0
"61",14760
"129",0
"153",0
"120",0
"113",0
"140",0
"80",14520
"88",15960
"93",15480
"125",0
"126",0
"104",14100
"106",0
"114",17340
"160",0
"112",0
"28",12420
"48",0
"141",0
"27",0
"99",23820
"117",14760
"47",0
"131",0
"58",0
"81",0
"20",0
"75",12540
"60",0
"97",0
"36",0
"109",0
"30",13440
"89",0
"45",0
"107",0
"135",0
"74",0
"161",0
"63",0
"102",0
"139",0
