"agentName","patientgetAliveTime"
"68",6480
"70",6660
"77",6480
"62",4980
"204",0
"117",8820
"116",8880
"126",8280
"115",7620
"235",0
"178",16560
"61",7020
"73",4500
"97",5100
"107",7500
"168",11700
"127",8400
"122",8760
"121",9480
"76",4800
"78",6420
"109",8880
"156",12960
"245",0
"188",12360
"162",13920
"138",11040
"262",0
"124",14940
"213",0
"219",0
"125",9900
"133",9720
"238",0
"199",9540
"186",0
"211",14700
"222",0
"200",0
"246",0
"205",0
"220",16320
"144",9840
"96",7320
"216",16560
"259",0
"251",0
"157",14220
"191",0
"143",9540
"86",5640
"176",16500
"106",6720
"166",15240
"104",8220
"54",5940
"47",4980
"160",11580
"55",10260
"130",7740
"139",0
"154",11940
"59",4920
"147",10500
"111",7020
"158",11040
"135",8760
"243",0
"90",6720
"98",6300
"181",18960
"232",0
"171",13980
"230",0
"129",9180
"58",6300
"201",0
"145",11640
"197",0
"224",0
"234",0
"153",13260
"247",0
"163",14220
"237",0
"128",12180
"223",0
"94",4920
"226",0
"255",0
"51",6480
"136",10740
"179",0
"108",8220
"103",7200
"242",0
"182",0
"141",9480
"81",6720
"214",16020
"249",0
"112",8160
"146",9600
"57",7620
"194",0
"72",6600
"71",6660
"82",8820
"53",5880
"63",4740
"110",7200
"164",13140
"175",16140
"248",0
"49",5040
"50",5340
"244",0
"206",0
"100",6540
"149",12900
"189",12480
"180",18000
"113",6540
"69",5640
"195",0
"228",0
"52",4800
"64",6900
"169",14820
"134",9360
"151",11820
"80",4800
"254",0
"174",13740
"261",0
"67",4680
"87",4740
"236",0
"250",0
"217",14040
"152",12600
"95",4620
"198",0
"241",0
"142",11880
"187",0
"227",0
"74",0
"256",0
"102",9300
"155",14640
"253",0
"257",0
"114",9000
"229",0
"75",4860
"215",18120
"239",0
"84",7440
"161",13020
"240",0
"88",4740
"119",10440
"170",14580
"212",13680
"252",0
"221",0
"260",0
"56",4800
"225",0
"131",11220
"172",0
"208",14880
"218",0
"167",15900
"258",0
"196",13380
"207",0
"92",6660
"48",6720
"140",10800
"85",4860
"65",4680
"193",13200
"173",16620
"177",9240
"60",6660
"89",7440
"209",10980
"79",4740
"233",0
"192",9960
"148",12420
"123",9480
"202",13440
"231",0
"132",10920
"91",5940
"105",11220
"184",9360
"165",11340
"66",6600
"83",5700
"183",22920
"99",7680
"159",14100
"120",10080
"185",0
"101",6180
"137",9840
"93",7860
"118",9600
"203",11640
"190",0
"150",11880
"210",0
