"run","UsePathFinding","Strep A PatientsStrepAInfectionStatusSymptomatic","Typical PatientsRecentCovidContactNo","BranchProbability_a5_0","Typical PatientsRecentCovidContactYes","Typical PatientsAdmissionRouteElectiveattendance","Strep A PatientsAdmissionRouteEmergencyAttendance","Typical PatientsSeveritymoderate","BranchProbability_a5","BranchProbability_b5","BranchProbability_b2","BranchProbability_b0","BranchProbability_b1","BranchProbability_a0_0","SecondsPerTick","Strep A PatientsSeveritysevere","Typical PatientsImmunocompromisedNo","Strep A PatientsStrepAInfectionStatusAsymptomatic","BranchProbability_b5_0","Typical PatientsSeveritylow","Strep A PatientsSeveritymoderate","Typical PatientsImmunocompromisedYes","Strep A PatientsSeveritylow","randomSeed","BranchProbability_a1","BranchProbability_a2","Strep A PatientsStrepAInfectionStatusSusceptible","BranchProbability_a0","Typical PatientsSeveritysevere","BranchProbability_b0_0"
2,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,2,50.0,20.0,60.0,50.0,15.0,20.0
4,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,4,50.0,20.0,60.0,50.0,15.0,20.0
6,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,6,50.0,20.0,60.0,50.0,15.0,20.0
8,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,8,50.0,20.0,60.0,50.0,15.0,20.0
10,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,10,50.0,20.0,60.0,50.0,15.0,20.0
1,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,1,50.0,20.0,60.0,50.0,15.0,20.0
3,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,3,50.0,20.0,60.0,50.0,15.0,20.0
5,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,5,50.0,20.0,60.0,50.0,15.0,20.0
7,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,7,50.0,20.0,60.0,50.0,15.0,20.0
9,"false",10.0,50.0,80.0,50.0,100.0,100.0,85.0,90.0,10.0,80.0,50.0,50.0,80.0,60,20.0,80.0,30.0,20.0,0.0,80.0,20.0,0.0,9,50.0,20.0,60.0,50.0,15.0,20.0
