"agentName","patientgetAliveTime"
"395",1560
"305",1560
"300",1500
"431",1560
"483",1620
"330",1500
"343",1500
"423",1500
"478",1560
"339",1500
"341",1560
"369",1560
"403",1500
"449",1560
"371",1560
"439",1500
"457",1560
"475",1500
"392",1560
"416",1500
"337",1560
"472",1500
"414",1500
"272",1620
"324",1500
"269",1620
"276",1620
"296",1500
"280",1500
"311",1560
"452",1560
"301",1560
"342",1560
"364",1620
"467",1500
"405",1500
"448",1620
"384",1800
"455",1560
"295",1680
"419",1620
"443",1500
"400",1500
"399",1560
"290",1560
"328",1500
"424",1500
"432",1560
"379",1620
"377",1500
"417",1500
"389",1620
"427",1560
"454",1500
"321",1560
"320",1500
"316",1500
"463",1500
"462",1500
"378",1620
"437",1560
"468",1500
"411",1680
"470",1500
"350",1500
"460",1500
"402",1500
"391",1620
"409",1800
"338",1620
"326",1560
"282",1560
"484",1500
"322",1560
"349",1620
"466",1560
"284",1560
"297",1500
"360",1500
"386",1620
"406",1500
"444",1500
"434",1560
"429",1560
"315",1560
"332",1500
"383",1680
"418",1620
"358",1500
"465",1560
"307",1560
"438",1620
"362",1620
"421",1620
"298",1560
"426",1620
"304",1500
"348",1500
"425",1500
"312",1500
"331",1560
"281",1560
"271",1560
"368",1500
"415",1560
"445",1500
"410",1800
"336",1560
"302",1500
"317",1500
"293",1560
"278",1560
"299",1500
"288",1500
"480",1500
"442",1500
"420",1620
"477",1560
"380",1620
"289",1500
"382",1560
"314",1500
"308",1500
"318",1500
"329",1500
"356",1560
"458",1560
"446",1560
"464",1560
"407",1620
"469",1560
"393",1680
"285",1500
"309",1560
"476",1680
"310",1500
"408",1500
"450",1560
"319",1500
"375",1500
"351",1500
"413",1740
"340",1560
"327",1560
"333",1500
"353",1620
"474",1500
"335",1560
"453",1560
"385",1800
"270",1620
"303",1560
"291",1500
"376",1560
"292",1620
"397",1560
"447",1500
"430",1500
"412",1740
"481",1560
"436",1560
"428",1560
"404",1620
"346",1620
"361",1500
"365",1500
"323",1620
"355",1500
"313",1500
"461",1560
"435",1500
"396",1560
"398",1560
"482",1500
"451",1560
"306",1560
"354",1560
"390",1680
"372",1560
"287",1560
"352",1500
"401",1620
"347",1500
"441",1500
"277",1620
"366",1560
"388",1560
"456",1500
"422",1620
"473",1500
"274",1560
"374",1500
"381",1560
"279",1560
"344",1560
"367",1560
"359",1500
"370",1500
"485",0
"394",1560
"387",1800
"294",1560
"459",1500
"363",1560
"357",1500
"273",1560
"283",1500
"325",1560
"334",1500
"373",1680
"440",1560
"345",1560
"471",1560
"286",1560
"433",1560
"275",1560
"479",1500
