"agentName","patientgetAliveTime"
"219",0
"87",7380
"218",0
"199",0
"130",10620
"131",11640
"109",7020
"227",0
"54",6780
"69",5160
"193",9300
"187",20220
"166",8340
"200",7380
"191",8700
"56",5100
"168",15240
"126",10680
"127",9000
"185",20160
"116",8280
"182",18660
"195",0
"188",21060
"157",11940
"103",6300
"70",6000
"223",0
"226",0
"156",11580
"228",0
"138",15240
"163",11100
"71",5760
"196",0
"124",7320
"51",6960
"162",15840
"55",7140
"111",7260
"97",4980
"139",16140
"206",0
"197",0
"67",9060
"115",7920
"48",6660
"190",19740
"152",16020
"117",11100
"171",15840
"221",0
"63",4860
"123",7260
"214",0
"186",11820
"207",7260
"65",6960
"53",6780
"108",9480
"93",7200
"90",6600
"106",10200
"58",6660
"112",6480
"99",4740
"128",7740
"172",14340
"165",11520
"120",8940
"78",4740
"49",6720
"215",7620
"72",7020
"229",0
"169",11700
"145",13740
"204",0
"94",8040
"203",0
"107",5700
"61",6960
"174",13740
"209",7140
"147",11100
"170",11520
"80",6180
"76",4740
"184",19140
"60",10320
"79",5520
"142",13020
"66",4980
"95",4620
"125",8640
"180",17820
"208",0
"179",10860
"81",5700
"178",13620
"217",0
"134",8820
"98",10500
"151",15480
"231",0
"68",5100
"104",10020
"136",14760
"75",5340
"77",4800
"64",6600
"119",8040
"201",0
"74",0
"176",18120
"205",6780
"73",6540
"211",7620
"129",11880
"137",8820
"122",7260
"160",14460
"177",17220
"216",0
"140",16260
"198",0
"149",9780
"155",15360
"82",6240
"189",11460
"230",0
"114",9960
"143",10320
"141",6600
"194",0
"91",5400
"224",0
"153",12000
"173",15540
"175",16020
"85",4860
"100",5220
"161",16680
"150",13680
"83",6120
"133",12360
"158",16620
"146",10380
"213",0
"222",0
"47",6240
"164",18120
"212",7980
"167",11760
"192",19560
"181",13380
"202",0
"84",6660
"105",7020
"132",12900
"210",6660
"110",7980
"121",0
"225",0
"102",7020
"88",10020
"159",16020
"50",7500
"220",7620
"57",7980
"89",9300
"96",7560
"183",19080
"135",13440
"62",5220
"52",7500
"59",6360
"92",4680
"101",6300
"154",12540
"113",7260
"144",10020
"148",14040
"86",4560
"118",8040
"219",24660
"255",20340
"242",22020
"368",0
"234",6540
"333",0
"329",0
"397",10560
"316",41040
"241",21900
"327",9300
"236",19500
"276",6420
"270",6660
"400",0
"431",0
"396",9600
"195",23340
"356",9600
"434",0
"352",6660
"223",26280
"268",21540
"385",10740
"228",25740
"196",20520
"343",9960
"371",9840
"426",0
"436",0
"197",20880
"325",0
"357",0
"265",25920
"355",9060
"376",0
"421",0
"405",0
"391",9660
"253",26040
"389",0
"382",0
"432",0
"386",0
"322",12600
"283",19260
"261",24000
"344",0
"330",0
"411",0
"364",0
"375",0
"266",6660
"204",23880
"243",22140
"324",0
"203",23640
"409",7620
"282",8100
"410",7500
"335",0
"427",0
"275",10800
"413",7140
"323",9600
"288",13200
"315",36600
"277",17940
"287",10680
"289",20040
"353",7920
"279",21600
"217",24840
"308",10500
"238",20640
"362",10740
"304",10320
"310",10500
"237",20760
"419",6840
"422",0
"314",11880
"393",10560
"198",22740
"252",23580
"286",8580
"257",21480
"307",27120
"407",0
"412",0
"395",0
"416",0
"425",0
"256",6780
"305",27960
"374",0
"194",20880
"278",19980
"390",0
"435",0
"290",11700
"235",20160
"365",0
"320",0
"363",6780
"424",0
"372",0
"359",0
"403",8040
"394",9660
"202",33000
"408",0
"250",6660
"302",24420
"430",0
"121",0
"225",7440
"280",9540
"260",23580
"354",0
"337",0
"367",0
"246",22500
"370",6780
"321",0
"291",11160
"388",6600
"267",6840
"284",0
"429",0
"285",7560
"218",24780
"300",10260
"199",23040
"263",25620
"227",7020
"319",11940
"293",19560
"271",19260
"262",25500
"273",18780
"342",0
"244",6780
"303",0
"349",0
"309",10440
"226",6840
"295",23280
"387",0
"345",0
"338",0
"381",0
"258",21660
"264",25200
"247",22320
"297",22740
"206",24540
"317",35340
"414",0
"332",0
"402",7200
"232",7140
"221",25740
"318",0
"214",23760
"418",0
"406",8580
"369",7500
"272",9840
"415",0
"428",0
"437",0
"249",23520
"229",6780
"251",21840
"438",0
"269",6480
"340",0
"377",8100
"383",0
"296",20400
"259",24120
"423",0
"380",7200
"417",0
"346",0
"208",23820
"348",7140
"373",0
"299",23760
"351",0
"399",10560
"231",21780
"347",0
"313",0
"201",24600
"240",20400
"74",0
"339",0
"336",0
"254",21120
"392",0
"216",23400
"245",22860
"433",0
"274",19500
"350",8040
"230",21720
"366",0
"401",7020
"328",0
"239",6600
"379",7380
"311",30780
"312",10140
"420",0
"233",21180
"224",7140
"360",0
"248",23580
"384",13440
"306",0
"213",24960
"222",25800
"398",0
"378",0
"341",10680
"298",10200
"334",0
"301",13740
"361",0
"281",9600
"358",6720
"331",0
"404",0
"326",0
"294",21420
"292",19260
