Time point: 547.0 | correctWork: 1.0
Time point: 547.0 | stress: 2.0
Time point: 639.0 | correctWork: 2.0
Time point: 639.0 | stress: 3.0
Time point: 754.0 | correctWork: 3.0
Time point: 754.0 | stress: 4.0
Time point: 857.0 | correctWork: 4.0
Time point: 857.0 | stress: 5.0
Time point: 1098.0 | correctWork: 5.0
Time point: 1098.0 | stress: 6.0
Time point: 1209.0 | correctWork: 6.0
Time point: 1209.0 | stress: 7.0
Time point: 1335.0 | mistakes: 1.0
Time point: 1335.0 | stress: 15.0
Time point: 1469.0 | mistakes: 2.0
Time point: 1469.0 | stress: 23.0
Time point: 1575.0 | mistakes: 3.0
Time point: 1575.0 | stress: 31.0
Time point: 1705.0 | correctWork: 7.0
Time point: 1705.0 | stress: 32.0
Time point: 1811.0 | correctWork: 8.0
Time point: 1811.0 | stress: 33.0
Time point: 1920.0 | correctWork: 9.0
Time point: 1920.0 | stress: 34.0
Time point: 2038.0 | correctWork: 10.0
Time point: 2038.0 | stress: 35.0
Time point: 2127.0 | mistakes: 4.0
Time point: 2127.0 | stress: 43.0
Time point: 2234.0 | correctWork: 11.0
Time point: 2234.0 | stress: 44.0
Time point: 2332.0 | mistakes: 5.0
Time point: 2332.0 | stress: 52.0
Time point: 2486.0 | correctWork: 12.0
Time point: 2486.0 | stress: 53.0
Time point: 2580.0 | correctWork: 13.0
Time point: 2580.0 | stress: 54.0
Time point: 2738.0 | mistakes: 6.0
Time point: 2738.0 | stress: 62.0
Time point: 2861.0 | correctWork: 14.0
Time point: 2861.0 | stress: 63.0
Time point: 2970.0 | correctWork: 15.0
Time point: 2970.0 | stress: 64.0
Time point: 3093.0 | mistakes: 7.0
Time point: 3093.0 | stress: 72.0
Time point: 3302.0 | mistakes: 8.0
Time point: 3302.0 | stress: 80.0
Time point: 3488.0 | mistakes: 9.0
Time point: 3488.0 | stress: 88.0
Time point: 3576.0 | mistakes: 10.0
Time point: 3576.0 | stress: 96.0
Time point: 3804.0 | mistakes: 11.0
Time point: 3804.0 | stress: 104.0
