Time point: 1223.0 | correctWork: 1.0
Time point: 1223.0 | stress: 2.0
Time point: 1859.0 | correctWork: 2.0
Time point: 1859.0 | stress: 3.0
Time point: 2477.0 | correctWork: 3.0
Time point: 2477.0 | stress: 4.0
Time point: 3118.0 | correctWork: 4.0
Time point: 3118.0 | stress: 5.0
Time point: 3742.0 | correctWork: 5.0
Time point: 3742.0 | stress: 6.0
Time point: 1633.0 | correctWork: 1.0
Time point: 1634.0 | stress: 2.0
Time point: 2255.0 | correctWork: 2.0
Time point: 2256.0 | stress: 3.0
Time point: 2905.0 | correctWork: 3.0
Time point: 2906.0 | stress: 4.0
Time point: 3546.0 | correctWork: 4.0
Time point: 3547.0 | stress: 5.0
Time point: 1266.0 | correctWork: 1.0
Time point: 1267.0 | stress: 2.0
Time point: 1923.0 | correctWork: 2.0
Time point: 1924.0 | stress: 3.0
Time point: 2566.0 | correctWork: 3.0
Time point: 2567.0 | stress: 4.0
Time point: 3185.0 | correctWork: 4.0
Time point: 3186.0 | stress: 5.0
Time point: 3840.0 | correctWork: 5.0
Time point: 3841.0 | stress: 6.0
Time point: 4472.0 | correctWork: 6.0
Time point: 4473.0 | stress: 7.0
Time point: 5114.0 | correctWork: 7.0
Time point: 5115.0 | stress: 8.0
Time point: 5748.0 | correctWork: 8.0
Time point: 5749.0 | stress: 9.0
Time point: 6385.0 | correctWork: 9.0
Time point: 6386.0 | stress: 10.0
Time point: 7023.0 | correctWork: 10.0
Time point: 7024.0 | stress: 11.0
Time point: 8320.0 | correctWork: 11.0
Time point: 8321.0 | stress: 12.0
Time point: 8946.0 | correctWork: 12.0
Time point: 8947.0 | stress: 13.0
Time point: 9579.0 | correctWork: 13.0
Time point: 9580.0 | stress: 14.0
Time point: 10210.0 | correctWork: 14.0
Time point: 10211.0 | stress: 15.0
