Time point: 530.0 | correctWork: 1.0
Time point: 530.0 | stress: 2.0
Time point: 640.0 | correctWork: 2.0
Time point: 640.0 | stress: 3.0
Time point: 758.0 | correctWork: 3.0
Time point: 758.0 | stress: 4.0
Time point: 862.0 | correctWork: 4.0
Time point: 862.0 | stress: 5.0
Time point: 940.0 | correctWork: 5.0
Time point: 940.0 | stress: 6.0
Time point: 1060.0 | correctWork: 6.0
Time point: 1060.0 | stress: 7.0
Time point: 1165.0 | correctWork: 7.0
Time point: 1165.0 | stress: 8.0
Time point: 1269.0 | correctWork: 8.0
Time point: 1269.0 | stress: 9.0
Time point: 1376.0 | correctWork: 9.0
Time point: 1376.0 | stress: 10.0
Time point: 1485.0 | correctWork: 10.0
Time point: 1485.0 | stress: 11.0
Time point: 1588.0 | correctWork: 11.0
Time point: 1588.0 | stress: 12.0
Time point: 1703.0 | correctWork: 12.0
Time point: 1703.0 | stress: 13.0
Time point: 1817.0 | correctWork: 13.0
Time point: 1817.0 | stress: 14.0
Time point: 1936.0 | correctWork: 14.0
Time point: 1936.0 | stress: 15.0
Time point: 1952.0 | correctWork: 15.0
Time point: 1952.0 | stress: 16.0
Time point: 2258.0 | correctWork: 16.0
Time point: 2258.0 | stress: 17.0
Time point: 2365.0 | correctWork: 17.0
Time point: 2365.0 | stress: 18.0
Time point: 2412.0 | correctWork: 18.0
Time point: 2412.0 | stress: 19.0
Time point: 2526.0 | correctWork: 19.0
Time point: 2526.0 | stress: 20.0
Time point: 2720.0 | correctWork: 20.0
Time point: 2720.0 | stress: 21.0
Time point: 2738.0 | correctWork: 21.0
Time point: 2738.0 | stress: 22.0
