Time point: 223.0 | correctWork: 1.0
Time point: 223.0 | stress: 2.0
Time point: 361.0 | correctWork: 2.0
Time point: 361.0 | stress: 3.0
Time point: 464.0 | correctWork: 3.0
Time point: 464.0 | stress: 4.0
Time point: 738.0 | correctWork: 4.0
Time point: 738.0 | stress: 5.0
Time point: 885.0 | correctWork: 5.0
Time point: 885.0 | stress: 6.0
Time point: 973.0 | correctWork: 6.0
Time point: 973.0 | stress: 7.0
Time point: 1113.0 | correctWork: 7.0
Time point: 1113.0 | stress: 8.0
Time point: 1200.0 | correctWork: 8.0
Time point: 1200.0 | stress: 9.0
Time point: 1333.0 | correctWork: 9.0
Time point: 1333.0 | stress: 10.0
Time point: 1433.0 | correctWork: 10.0
Time point: 1433.0 | stress: 11.0
Time point: 1580.0 | correctWork: 11.0
Time point: 1580.0 | stress: 12.0
Time point: 1717.0 | correctWork: 12.0
Time point: 1717.0 | stress: 13.0
Time point: 1956.0 | correctWork: 13.0
Time point: 1956.0 | stress: 14.0
Time point: 2125.0 | correctWork: 14.0
Time point: 2125.0 | stress: 15.0
Time point: 2359.0 | correctWork: 15.0
Time point: 2359.0 | stress: 16.0
Time point: 2460.0 | correctWork: 16.0
Time point: 2460.0 | stress: 17.0
Time point: 2587.0 | correctWork: 17.0
Time point: 2587.0 | stress: 18.0
Time point: 2859.0 | correctWork: 18.0
Time point: 2859.0 | stress: 19.0
Time point: 2964.0 | correctWork: 19.0
Time point: 2964.0 | stress: 20.0
Time point: 3053.0 | correctWork: 20.0
Time point: 3053.0 | stress: 21.0
Time point: 3174.0 | correctWork: 21.0
Time point: 3174.0 | stress: 22.0
Time point: 3321.0 | correctWork: 22.0
Time point: 3321.0 | stress: 23.0
Time point: 3429.0 | correctWork: 23.0
Time point: 3429.0 | stress: 24.0
Time point: 3545.0 | correctWork: 24.0
Time point: 3545.0 | stress: 25.0
