Time point: 360.0 | correctWork: 1.0
Time point: 360.0 | stress: 2.0
Time point: 448.0 | correctWork: 2.0
Time point: 448.0 | stress: 3.0
Time point: 552.0 | correctWork: 3.0
Time point: 552.0 | stress: 4.0
Time point: 659.0 | correctWork: 4.0
Time point: 659.0 | stress: 5.0
Time point: 742.0 | correctWork: 5.0
Time point: 742.0 | stress: 6.0
Time point: 929.0 | correctWork: 6.0
Time point: 929.0 | stress: 7.0
Time point: 1019.0 | correctWork: 7.0
Time point: 1019.0 | stress: 8.0
Time point: 1120.0 | correctWork: 8.0
Time point: 1120.0 | stress: 9.0
Time point: 1265.0 | correctWork: 9.0
Time point: 1265.0 | stress: 10.0
Time point: 1390.0 | correctWork: 10.0
Time point: 1390.0 | stress: 11.0
Time point: 1536.0 | correctWork: 11.0
Time point: 1536.0 | stress: 12.0
Time point: 1641.0 | correctWork: 12.0
Time point: 1641.0 | stress: 13.0
Time point: 1789.0 | correctWork: 13.0
Time point: 1789.0 | stress: 14.0
Time point: 1875.0 | correctWork: 14.0
Time point: 1875.0 | stress: 15.0
Time point: 1956.0 | correctWork: 15.0
Time point: 1956.0 | stress: 16.0
Time point: 2041.0 | mistakes: 1.0
Time point: 2041.0 | stress: 24.0
Time point: 2148.0 | correctWork: 16.0
Time point: 2148.0 | stress: 25.0
Time point: 2355.0 | correctWork: 17.0
Time point: 2355.0 | stress: 26.0
Time point: 2460.0 | correctWork: 18.0
Time point: 2460.0 | stress: 27.0
Time point: 2775.0 | correctWork: 19.0
Time point: 2775.0 | stress: 28.0
Time point: 3406.0 | correctWork: 20.0
Time point: 3406.0 | stress: 29.0
Time point: 3532.0 | correctWork: 21.0
Time point: 3532.0 | stress: 30.0
Time point: 3638.0 | correctWork: 22.0
Time point: 3638.0 | stress: 31.0
Time point: 3743.0 | correctWork: 23.0
Time point: 3743.0 | stress: 32.0
Time point: 3933.0 | mistakes: 2.0
Time point: 3933.0 | stress: 40.0
Time point: 4037.0 | correctWork: 24.0
Time point: 4037.0 | stress: 41.0
Time point: 4140.0 | correctWork: 25.0
Time point: 4140.0 | stress: 42.0
Time point: 4291.0 | correctWork: 26.0
Time point: 4291.0 | stress: 43.0
Time point: 4435.0 | correctWork: 27.0
Time point: 4435.0 | stress: 44.0
Time point: 4541.0 | correctWork: 28.0
Time point: 4541.0 | stress: 45.0
Time point: 4732.0 | correctWork: 29.0
Time point: 4732.0 | stress: 46.0
Time point: 4835.0 | correctWork: 30.0
Time point: 4835.0 | stress: 47.0
Time point: 4937.0 | correctWork: 31.0
Time point: 4937.0 | stress: 48.0
Time point: 5084.0 | mistakes: 3.0
Time point: 5084.0 | stress: 56.0
