Time point: 338.0 | correctWork: 1.0
Time point: 338.0 | stress: 2.0
Time point: 432.0 | correctWork: 2.0
Time point: 432.0 | stress: 3.0
Time point: 525.0 | correctWork: 3.0
Time point: 525.0 | stress: 4.0
Time point: 659.0 | correctWork: 4.0
Time point: 659.0 | stress: 5.0
Time point: 782.0 | correctWork: 5.0
Time point: 782.0 | stress: 6.0
Time point: 877.0 | correctWork: 6.0
Time point: 877.0 | stress: 7.0
Time point: 972.0 | correctWork: 7.0
Time point: 972.0 | stress: 8.0
Time point: 1049.0 | correctWork: 8.0
Time point: 1049.0 | stress: 9.0
Time point: 1142.0 | correctWork: 9.0
Time point: 1142.0 | stress: 10.0
Time point: 1292.0 | correctWork: 10.0
Time point: 1292.0 | stress: 11.0
Time point: 1405.0 | correctWork: 11.0
Time point: 1405.0 | stress: 12.0
Time point: 1543.0 | correctWork: 12.0
Time point: 1543.0 | stress: 13.0
Time point: 1621.0 | correctWork: 13.0
Time point: 1621.0 | stress: 14.0
Time point: 1717.0 | correctWork: 14.0
Time point: 1717.0 | stress: 15.0
Time point: 1810.0 | correctWork: 15.0
Time point: 1810.0 | stress: 16.0
Time point: 1903.0 | correctWork: 16.0
Time point: 1903.0 | stress: 17.0
Time point: 2033.0 | correctWork: 17.0
Time point: 2033.0 | stress: 18.0
Time point: 2164.0 | correctWork: 18.0
Time point: 2164.0 | stress: 19.0
