Time point: 470.0 | correctWork: 1.0
Time point: 470.0 | stress: 2.0
Time point: 594.0 | mistakes: 1.0
Time point: 594.0 | stress: 10.0
Time point: 700.0 | correctWork: 2.0
Time point: 700.0 | stress: 11.0
Time point: 807.0 | correctWork: 3.0
Time point: 807.0 | stress: 12.0
Time point: 995.0 | correctWork: 4.0
Time point: 995.0 | stress: 13.0
Time point: 1174.0 | correctWork: 5.0
Time point: 1174.0 | stress: 14.0
Time point: 1322.0 | correctWork: 6.0
Time point: 1322.0 | stress: 15.0
Time point: 1401.0 | correctWork: 7.0
Time point: 1401.0 | stress: 16.0
Time point: 1545.0 | correctWork: 8.0
Time point: 1545.0 | stress: 17.0
Time point: 1827.0 | correctWork: 9.0
Time point: 1827.0 | stress: 18.0
Time point: 1945.0 | correctWork: 10.0
Time point: 1945.0 | stress: 19.0
Time point: 2063.0 | correctWork: 11.0
Time point: 2063.0 | stress: 20.0
Time point: 2181.0 | correctWork: 12.0
Time point: 2181.0 | stress: 21.0
Time point: 2302.0 | correctWork: 13.0
Time point: 2302.0 | stress: 22.0
Time point: 2343.0 | correctWork: 14.0
Time point: 2343.0 | stress: 23.0
Time point: 2456.0 | correctWork: 15.0
Time point: 2456.0 | stress: 24.0
Time point: 2574.0 | correctWork: 16.0
Time point: 2574.0 | stress: 25.0
Time point: 2750.0 | correctWork: 17.0
Time point: 2750.0 | stress: 26.0
Time point: 2766.0 | correctWork: 18.0
Time point: 2766.0 | stress: 27.0
Time point: 2886.0 | correctWork: 19.0
Time point: 2886.0 | stress: 28.0
Time point: 3092.0 | correctWork: 20.0
Time point: 3092.0 | stress: 29.0
Time point: 3199.0 | correctWork: 21.0
Time point: 3199.0 | stress: 30.0
