Time point: 310.0 | correctWork: 1.0
Time point: 310.0 | stress: 2.0
Time point: 424.0 | correctWork: 2.0
Time point: 424.0 | stress: 3.0
Time point: 676.0 | correctWork: 3.0
Time point: 676.0 | stress: 4.0
Time point: 766.0 | mistakes: 1.0
Time point: 766.0 | stress: 12.0
Time point: 865.0 | correctWork: 4.0
Time point: 865.0 | stress: 13.0
Time point: 1034.0 | correctWork: 5.0
Time point: 1034.0 | stress: 14.0
Time point: 1137.0 | correctWork: 6.0
Time point: 1137.0 | stress: 15.0
Time point: 1242.0 | correctWork: 7.0
Time point: 1242.0 | stress: 16.0
Time point: 1351.0 | correctWork: 8.0
Time point: 1351.0 | stress: 17.0
Time point: 1516.0 | correctWork: 9.0
Time point: 1516.0 | stress: 18.0
Time point: 1663.0 | correctWork: 10.0
Time point: 1663.0 | stress: 19.0
Time point: 1833.0 | mistakes: 2.0
Time point: 1833.0 | stress: 27.0
Time point: 2105.0 | correctWork: 11.0
Time point: 2105.0 | stress: 28.0
Time point: 2439.0 | correctWork: 12.0
Time point: 2439.0 | stress: 29.0
Time point: 2545.0 | correctWork: 13.0
Time point: 2545.0 | stress: 30.0
Time point: 2733.0 | correctWork: 14.0
Time point: 2733.0 | stress: 31.0
Time point: 2840.0 | correctWork: 15.0
Time point: 2840.0 | stress: 32.0
Time point: 3031.0 | correctWork: 16.0
Time point: 3031.0 | stress: 33.0
Time point: 3199.0 | correctWork: 17.0
Time point: 3199.0 | stress: 34.0
Time point: 3290.0 | correctWork: 18.0
Time point: 3290.0 | stress: 35.0
Time point: 3388.0 | correctWork: 19.0
Time point: 3388.0 | stress: 36.0
Time point: 3488.0 | correctWork: 20.0
Time point: 3488.0 | stress: 37.0
Time point: 3578.0 | correctWork: 21.0
Time point: 3578.0 | stress: 38.0
