Time point: 520.0 | correctWork: 1.0
Time point: 520.0 | stress: 2.0
Time point: 610.0 | correctWork: 2.0
Time point: 610.0 | stress: 3.0
Time point: 695.0 | mistakes: 1.0
Time point: 695.0 | stress: 11.0
Time point: 799.0 | correctWork: 3.0
Time point: 799.0 | stress: 12.0
Time point: 958.0 | correctWork: 4.0
Time point: 958.0 | stress: 13.0
Time point: 1069.0 | correctWork: 5.0
Time point: 1069.0 | stress: 14.0
Time point: 1223.0 | correctWork: 6.0
Time point: 1223.0 | stress: 15.0
Time point: 1327.0 | correctWork: 7.0
Time point: 1327.0 | stress: 16.0
Time point: 1479.0 | correctWork: 8.0
Time point: 1479.0 | stress: 17.0
Time point: 1600.0 | mistakes: 2.0
Time point: 1600.0 | stress: 25.0
Time point: 1684.0 | correctWork: 9.0
Time point: 1684.0 | stress: 26.0
Time point: 1770.0 | correctWork: 10.0
Time point: 1770.0 | stress: 27.0
Time point: 1917.0 | correctWork: 11.0
Time point: 1917.0 | stress: 28.0
Time point: 2009.0 | mistakes: 3.0
Time point: 2009.0 | stress: 36.0
Time point: 2148.0 | correctWork: 12.0
Time point: 2148.0 | stress: 37.0
Time point: 2313.0 | correctWork: 13.0
Time point: 2313.0 | stress: 38.0
Time point: 2461.0 | correctWork: 14.0
Time point: 2461.0 | stress: 39.0
Time point: 2607.0 | mistakes: 4.0
Time point: 2607.0 | stress: 47.0
Time point: 2717.0 | mistakes: 5.0
Time point: 2717.0 | stress: 55.0
Time point: 2883.0 | correctWork: 15.0
Time point: 2883.0 | stress: 56.0
Time point: 3029.0 | correctWork: 16.0
Time point: 3029.0 | stress: 57.0
Time point: 3136.0 | correctWork: 17.0
Time point: 3136.0 | stress: 58.0
Time point: 3256.0 | correctWork: 18.0
Time point: 3256.0 | stress: 59.0
Time point: 3365.0 | correctWork: 19.0
Time point: 3365.0 | stress: 60.0
Time point: 3616.0 | mistakes: 6.0
Time point: 3616.0 | stress: 68.0
Time point: 3762.0 | mistakes: 7.0
Time point: 3762.0 | stress: 76.0
Time point: 3849.0 | correctWork: 20.0
Time point: 3849.0 | stress: 77.0
