Time point: 355.0 | correctWork: 1.0
Time point: 355.0 | stress: 2.0
Time point: 447.0 | correctWork: 2.0
Time point: 447.0 | stress: 3.0
Time point: 541.0 | correctWork: 3.0
Time point: 541.0 | stress: 4.0
Time point: 634.0 | correctWork: 4.0
Time point: 634.0 | stress: 5.0
Time point: 726.0 | correctWork: 5.0
Time point: 726.0 | stress: 6.0
Time point: 820.0 | correctWork: 6.0
Time point: 820.0 | stress: 7.0
Time point: 929.0 | correctWork: 7.0
Time point: 929.0 | stress: 8.0
Time point: 1093.0 | correctWork: 8.0
Time point: 1093.0 | stress: 9.0
Time point: 1218.0 | correctWork: 9.0
Time point: 1218.0 | stress: 10.0
Time point: 1357.0 | correctWork: 10.0
Time point: 1357.0 | stress: 11.0
Time point: 1432.0 | correctWork: 11.0
Time point: 1432.0 | stress: 12.0
Time point: 1506.0 | correctWork: 12.0
Time point: 1506.0 | stress: 13.0
Time point: 1600.0 | correctWork: 13.0
Time point: 1600.0 | stress: 14.0
Time point: 1732.0 | correctWork: 14.0
Time point: 1732.0 | stress: 15.0
Time point: 1843.0 | correctWork: 15.0
Time point: 1843.0 | stress: 16.0
Time point: 2000.0 | correctWork: 16.0
Time point: 2000.0 | stress: 17.0
Time point: 2085.0 | correctWork: 17.0
Time point: 2085.0 | stress: 18.0
Time point: 2178.0 | correctWork: 18.0
Time point: 2178.0 | stress: 19.0
Time point: 2339.0 | correctWork: 19.0
Time point: 2339.0 | stress: 20.0
Time point: 2431.0 | correctWork: 20.0
Time point: 2431.0 | stress: 21.0
Time point: 2524.0 | correctWork: 21.0
Time point: 2524.0 | stress: 22.0
Time point: 2630.0 | correctWork: 22.0
Time point: 2630.0 | stress: 23.0
Time point: 2650.0 | correctWork: 23.0
Time point: 2650.0 | stress: 24.0
Time point: 2775.0 | correctWork: 24.0
Time point: 2775.0 | stress: 25.0
Time point: 2869.0 | correctWork: 25.0
Time point: 2869.0 | stress: 26.0
Time point: 2961.0 | correctWork: 26.0
Time point: 2961.0 | stress: 27.0
Time point: 3166.0 | correctWork: 27.0
Time point: 3166.0 | stress: 28.0
Time point: 3273.0 | correctWork: 28.0
Time point: 3273.0 | stress: 29.0
Time point: 3394.0 | correctWork: 29.0
Time point: 3394.0 | stress: 30.0
Time point: 3490.0 | correctWork: 30.0
Time point: 3490.0 | stress: 31.0
Time point: 3584.0 | correctWork: 31.0
Time point: 3584.0 | stress: 32.0
Time point: 3658.0 | correctWork: 32.0
Time point: 3658.0 | stress: 33.0
Time point: 3700.0 | correctWork: 33.0
Time point: 3700.0 | stress: 34.0
Time point: 3792.0 | correctWork: 34.0
Time point: 3792.0 | stress: 35.0
Time point: 3951.0 | correctWork: 35.0
Time point: 3951.0 | stress: 36.0
Time point: 4095.0 | correctWork: 36.0
Time point: 4095.0 | stress: 37.0
Time point: 4146.0 | correctWork: 37.0
Time point: 4146.0 | stress: 38.0
Time point: 4239.0 | correctWork: 38.0
Time point: 4239.0 | stress: 39.0
Time point: 4379.0 | correctWork: 39.0
Time point: 4379.0 | stress: 40.0
Time point: 4522.0 | correctWork: 40.0
Time point: 4522.0 | stress: 41.0
Time point: 4616.0 | correctWork: 41.0
Time point: 4616.0 | stress: 42.0
Time point: 4837.0 | correctWork: 42.0
Time point: 4837.0 | stress: 43.0
Time point: 4924.0 | correctWork: 43.0
Time point: 4924.0 | stress: 44.0
Time point: 5018.0 | correctWork: 44.0
Time point: 5018.0 | stress: 45.0
Time point: 5172.0 | correctWork: 45.0
Time point: 5172.0 | stress: 46.0
Time point: 5299.0 | correctWork: 46.0
Time point: 5299.0 | stress: 47.0
Time point: 5392.0 | correctWork: 47.0
Time point: 5392.0 | stress: 48.0
Time point: 5551.0 | correctWork: 48.0
Time point: 5551.0 | stress: 49.0
Time point: 5644.0 | correctWork: 49.0
Time point: 5644.0 | stress: 50.0
Time point: 5747.0 | correctWork: 50.0
Time point: 5747.0 | stress: 51.0
Time point: 5896.0 | correctWork: 51.0
Time point: 5896.0 | stress: 52.0
Time point: 5989.0 | correctWork: 52.0
Time point: 5989.0 | stress: 53.0
Time point: 6080.0 | correctWork: 53.0
Time point: 6080.0 | stress: 54.0
Time point: 6244.0 | correctWork: 54.0
Time point: 6244.0 | stress: 55.0
Time point: 6265.0 | correctWork: 55.0
Time point: 6265.0 | stress: 56.0
Time point: 6388.0 | correctWork: 56.0
Time point: 6388.0 | stress: 57.0
Time point: 6533.0 | correctWork: 57.0
Time point: 6533.0 | stress: 58.0
Time point: 6590.0 | correctWork: 58.0
Time point: 6590.0 | stress: 59.0
Time point: 6683.0 | correctWork: 59.0
Time point: 6683.0 | stress: 60.0
Time point: 6732.0 | correctWork: 60.0
Time point: 6732.0 | stress: 61.0
Time point: 6858.0 | correctWork: 61.0
Time point: 6858.0 | stress: 62.0
Time point: 6965.0 | correctWork: 62.0
Time point: 6965.0 | stress: 63.0
Time point: 7058.0 | correctWork: 63.0
Time point: 7058.0 | stress: 64.0
Time point: 7154.0 | correctWork: 64.0
Time point: 7154.0 | stress: 65.0
Time point: 7248.0 | correctWork: 65.0
Time point: 7248.0 | stress: 66.0
Time point: 7341.0 | correctWork: 66.0
Time point: 7341.0 | stress: 67.0
Time point: 7436.0 | correctWork: 67.0
Time point: 7436.0 | stress: 68.0
Time point: 7542.0 | correctWork: 68.0
Time point: 7542.0 | stress: 69.0
Time point: 7668.0 | correctWork: 69.0
Time point: 7668.0 | stress: 70.0
Time point: 7754.0 | correctWork: 70.0
Time point: 7754.0 | stress: 71.0
Time point: 7847.0 | correctWork: 71.0
Time point: 7847.0 | stress: 72.0
Time point: 7942.0 | correctWork: 72.0
Time point: 7942.0 | stress: 73.0
Time point: 8090.0 | correctWork: 73.0
Time point: 8090.0 | stress: 74.0
Time point: 8202.0 | correctWork: 74.0
Time point: 8202.0 | stress: 75.0
Time point: 8295.0 | correctWork: 75.0
Time point: 8295.0 | stress: 76.0
