Time point: 1435.0 | correctWork: 1.0
Time point: 1436.0 | stress: 2.0
Time point: 2080.0 | correctWork: 2.0
Time point: 2081.0 | stress: 3.0
Time point: 3062.0 | correctWork: 3.0
Time point: 3063.0 | stress: 4.0
Time point: 3695.0 | correctWork: 4.0
Time point: 3696.0 | stress: 5.0
Time point: 4672.0 | correctWork: 5.0
Time point: 4673.0 | stress: 6.0
Time point: 5303.0 | correctWork: 6.0
Time point: 5304.0 | stress: 7.0
Time point: 5954.0 | correctWork: 7.0
Time point: 5955.0 | stress: 8.0
Time point: 6597.0 | correctWork: 8.0
Time point: 6598.0 | stress: 9.0
Time point: 7222.0 | correctWork: 9.0
Time point: 7223.0 | stress: 10.0
Time point: 7857.0 | correctWork: 10.0
Time point: 7858.0 | stress: 11.0
Time point: 8495.0 | correctWork: 11.0
Time point: 8496.0 | stress: 12.0
Time point: 9453.0 | correctWork: 12.0
Time point: 9454.0 | stress: 13.0
Time point: 10425.0 | correctWork: 13.0
Time point: 10426.0 | stress: 14.0
Time point: 11064.0 | correctWork: 14.0
Time point: 11065.0 | stress: 15.0
