Time point: 270.0 | correctWork: 1.0
Time point: 270.0 | stress: 2.0
Time point: 394.0 | correctWork: 2.0
Time point: 394.0 | stress: 3.0
Time point: 478.0 | correctWork: 3.0
Time point: 478.0 | stress: 4.0
Time point: 568.0 | correctWork: 4.0
Time point: 568.0 | stress: 5.0
Time point: 690.0 | correctWork: 5.0
Time point: 690.0 | stress: 6.0
Time point: 780.0 | correctWork: 6.0
Time point: 780.0 | stress: 7.0
Time point: 870.0 | correctWork: 7.0
Time point: 870.0 | stress: 8.0
Time point: 971.0 | correctWork: 8.0
Time point: 971.0 | stress: 9.0
Time point: 1070.0 | correctWork: 9.0
Time point: 1070.0 | stress: 10.0
Time point: 1159.0 | correctWork: 10.0
Time point: 1159.0 | stress: 11.0
Time point: 1248.0 | correctWork: 11.0
Time point: 1248.0 | stress: 12.0
Time point: 1338.0 | correctWork: 12.0
Time point: 1338.0 | stress: 13.0
Time point: 1480.0 | correctWork: 13.0
Time point: 1480.0 | stress: 14.0
Time point: 1587.0 | correctWork: 14.0
Time point: 1587.0 | stress: 15.0
Time point: 1689.0 | correctWork: 15.0
Time point: 1689.0 | stress: 16.0
Time point: 1776.0 | correctWork: 16.0
Time point: 1776.0 | stress: 17.0
Time point: 1828.0 | correctWork: 17.0
Time point: 1828.0 | stress: 18.0
Time point: 1844.0 | correctWork: 18.0
Time point: 1844.0 | stress: 19.0
Time point: 1947.0 | correctWork: 19.0
Time point: 1947.0 | stress: 20.0
Time point: 2056.0 | correctWork: 20.0
Time point: 2056.0 | stress: 21.0
Time point: 2144.0 | correctWork: 21.0
Time point: 2144.0 | stress: 22.0
Time point: 2241.0 | correctWork: 22.0
Time point: 2241.0 | stress: 23.0
Time point: 2352.0 | correctWork: 23.0
Time point: 2352.0 | stress: 24.0
Time point: 2447.0 | correctWork: 24.0
Time point: 2447.0 | stress: 25.0
Time point: 2624.0 | correctWork: 25.0
Time point: 2624.0 | stress: 26.0
Time point: 2858.0 | correctWork: 26.0
Time point: 2858.0 | stress: 27.0
Time point: 2946.0 | correctWork: 27.0
Time point: 2946.0 | stress: 28.0
Time point: 3072.0 | correctWork: 28.0
Time point: 3072.0 | stress: 29.0
Time point: 3161.0 | correctWork: 29.0
Time point: 3161.0 | stress: 30.0
Time point: 3214.0 | correctWork: 30.0
Time point: 3214.0 | stress: 31.0
Time point: 3296.0 | correctWork: 31.0
Time point: 3296.0 | stress: 32.0
Time point: 3384.0 | correctWork: 32.0
Time point: 3384.0 | stress: 33.0
Time point: 3473.0 | correctWork: 33.0
Time point: 3473.0 | stress: 34.0
