Time point: 385.0 | correctWork: 1.0
Time point: 385.0 | stress: 2.0
Time point: 526.0 | correctWork: 2.0
Time point: 526.0 | stress: 3.0
Time point: 629.0 | correctWork: 3.0
Time point: 629.0 | stress: 4.0
Time point: 732.0 | correctWork: 4.0
Time point: 732.0 | stress: 5.0
Time point: 919.0 | correctWork: 5.0
Time point: 919.0 | stress: 6.0
Time point: 1052.0 | correctWork: 6.0
Time point: 1052.0 | stress: 7.0
Time point: 1171.0 | correctWork: 7.0
Time point: 1171.0 | stress: 8.0
Time point: 1276.0 | correctWork: 8.0
Time point: 1276.0 | stress: 9.0
Time point: 1396.0 | correctWork: 9.0
Time point: 1396.0 | stress: 10.0
Time point: 1412.0 | correctWork: 10.0
Time point: 1412.0 | stress: 11.0
Time point: 1531.0 | correctWork: 11.0
Time point: 1531.0 | stress: 12.0
