Time point: 462.0 | correctWork: 1.0
Time point: 462.0 | stress: 2.0
Time point: 596.0 | correctWork: 2.0
Time point: 596.0 | stress: 3.0
Time point: 729.0 | correctWork: 3.0
Time point: 729.0 | stress: 4.0
Time point: 745.0 | mistakes: 1.0
Time point: 745.0 | stress: 12.0
Time point: 878.0 | correctWork: 4.0
Time point: 878.0 | stress: 13.0
Time point: 984.0 | correctWork: 5.0
Time point: 984.0 | stress: 14.0
Time point: 1225.0 | mistakes: 2.0
Time point: 1225.0 | stress: 22.0
Time point: 1331.0 | correctWork: 6.0
Time point: 1331.0 | stress: 23.0
Time point: 1423.0 | correctWork: 7.0
Time point: 1423.0 | stress: 24.0
Time point: 1667.0 | correctWork: 8.0
Time point: 1667.0 | stress: 25.0
Time point: 1773.0 | correctWork: 9.0
Time point: 1773.0 | stress: 26.0
Time point: 2001.0 | correctWork: 10.0
Time point: 2001.0 | stress: 27.0
Time point: 2318.0 | correctWork: 11.0
Time point: 2318.0 | stress: 28.0
Time point: 2505.0 | correctWork: 12.0
Time point: 2505.0 | stress: 29.0
Time point: 2626.0 | correctWork: 13.0
Time point: 2626.0 | stress: 30.0
Time point: 2838.0 | mistakes: 3.0
Time point: 2838.0 | stress: 38.0
Time point: 2973.0 | correctWork: 14.0
Time point: 2973.0 | stress: 39.0
Time point: 3240.0 | correctWork: 15.0
Time point: 3240.0 | stress: 40.0
Time point: 3415.0 | correctWork: 16.0
Time point: 3415.0 | stress: 41.0
Time point: 3522.0 | correctWork: 17.0
Time point: 3522.0 | stress: 42.0
Time point: 3703.0 | correctWork: 18.0
Time point: 3703.0 | stress: 43.0
Time point: 3808.0 | correctWork: 19.0
Time point: 3808.0 | stress: 44.0
Time point: 3941.0 | correctWork: 20.0
Time point: 3941.0 | stress: 45.0
Time point: 4047.0 | mistakes: 4.0
Time point: 4047.0 | stress: 53.0
Time point: 1497.0 | correctWork: 1.0
Time point: 1498.0 | stress: 2.0
Time point: 2104.0 | correctWork: 2.0
Time point: 2105.0 | stress: 3.0
Time point: 2711.0 | correctWork: 3.0
Time point: 2712.0 | stress: 4.0
