Time point: 370.0 | correctWork: 1.0
Time point: 370.0 | stress: 2.0
Time point: 474.0 | correctWork: 2.0
Time point: 474.0 | stress: 3.0
Time point: 577.0 | correctWork: 3.0
Time point: 577.0 | stress: 4.0
Time point: 731.0 | correctWork: 4.0
Time point: 731.0 | stress: 5.0
Time point: 895.0 | correctWork: 5.0
Time point: 895.0 | stress: 6.0
Time point: 1196.0 | correctWork: 6.0
Time point: 1196.0 | stress: 7.0
Time point: 1288.0 | correctWork: 7.0
Time point: 1288.0 | stress: 8.0
Time point: 1395.0 | correctWork: 8.0
Time point: 1395.0 | stress: 9.0
Time point: 1734.0 | correctWork: 9.0
Time point: 1734.0 | stress: 10.0
Time point: 1843.0 | correctWork: 10.0
Time point: 1843.0 | stress: 11.0
Time point: 1946.0 | correctWork: 11.0
Time point: 1946.0 | stress: 12.0
Time point: 2052.0 | correctWork: 12.0
Time point: 2052.0 | stress: 13.0
Time point: 2172.0 | correctWork: 13.0
Time point: 2172.0 | stress: 14.0
Time point: 2291.0 | correctWork: 14.0
Time point: 2291.0 | stress: 15.0
Time point: 2454.0 | correctWork: 15.0
Time point: 2454.0 | stress: 16.0
Time point: 2560.0 | correctWork: 16.0
Time point: 2560.0 | stress: 17.0
Time point: 2645.0 | correctWork: 17.0
Time point: 2645.0 | stress: 18.0
Time point: 2764.0 | correctWork: 18.0
Time point: 2764.0 | stress: 19.0
