Time point: 397.0 | mistakes: 1.0
Time point: 397.0 | stress: 9.0
Time point: 508.0 | correctWork: 1.0
Time point: 508.0 | stress: 10.0
Time point: 738.0 | correctWork: 2.0
Time point: 738.0 | stress: 11.0
Time point: 809.0 | mistakes: 2.0
Time point: 809.0 | stress: 19.0
Time point: 956.0 | correctWork: 3.0
Time point: 956.0 | stress: 20.0
Time point: 1074.0 | correctWork: 4.0
Time point: 1074.0 | stress: 21.0
Time point: 1220.0 | mistakes: 3.0
Time point: 1220.0 | stress: 29.0
Time point: 1453.0 | correctWork: 5.0
Time point: 1453.0 | stress: 30.0
Time point: 1612.0 | mistakes: 4.0
Time point: 1612.0 | stress: 38.0
Time point: 1787.0 | correctWork: 6.0
Time point: 1787.0 | stress: 39.0
Time point: 1937.0 | correctWork: 7.0
Time point: 1937.0 | stress: 40.0
Time point: 2086.0 | correctWork: 8.0
Time point: 2086.0 | stress: 41.0
Time point: 2186.0 | correctWork: 9.0
Time point: 2186.0 | stress: 42.0
Time point: 2380.0 | correctWork: 10.0
Time point: 2380.0 | stress: 43.0
Time point: 2544.0 | correctWork: 11.0
Time point: 2544.0 | stress: 44.0
Time point: 2715.0 | correctWork: 12.0
Time point: 2715.0 | stress: 45.0
Time point: 2941.0 | mistakes: 5.0
Time point: 2941.0 | stress: 53.0
Time point: 3028.0 | mistakes: 6.0
Time point: 3028.0 | stress: 61.0
Time point: 3238.0 | correctWork: 13.0
Time point: 3238.0 | stress: 62.0
Time point: 3345.0 | correctWork: 14.0
Time point: 3345.0 | stress: 63.0
Time point: 3512.0 | mistakes: 7.0
Time point: 3512.0 | stress: 71.0
Time point: 3761.0 | mistakes: 8.0
Time point: 3761.0 | stress: 79.0
Time point: 3850.0 | mistakes: 9.0
Time point: 3850.0 | stress: 87.0
Time point: 4122.0 | mistakes: 10.0
Time point: 4122.0 | stress: 95.0
Time point: 4269.0 | mistakes: 11.0
Time point: 4269.0 | stress: 103.0
Time point: 4393.0 | correctWork: 15.0
Time point: 4393.0 | stress: 104.0
Time point: 4482.0 | correctWork: 16.0
Time point: 4482.0 | stress: 105.0
Time point: 4606.0 | correctWork: 17.0
Time point: 4606.0 | stress: 106.0
Time point: 4706.0 | correctWork: 18.0
Time point: 4706.0 | stress: 107.0
Time point: 4980.0 | correctWork: 19.0
Time point: 4980.0 | stress: 108.0
Time point: 5069.0 | correctWork: 20.0
Time point: 5069.0 | stress: 109.0
Time point: 5170.0 | correctWork: 21.0
Time point: 5170.0 | stress: 110.0
