Time point: 421.0 | correctWork: 1.0
Time point: 421.0 | stress: 2.0
Time point: 543.0 | correctWork: 2.0
Time point: 543.0 | stress: 3.0
Time point: 718.0 | correctWork: 3.0
Time point: 718.0 | stress: 4.0
Time point: 734.0 | correctWork: 4.0
Time point: 734.0 | stress: 5.0
Time point: 750.0 | correctWork: 5.0
Time point: 750.0 | stress: 6.0
Time point: 890.0 | correctWork: 6.0
Time point: 890.0 | stress: 7.0
Time point: 1070.0 | correctWork: 7.0
Time point: 1070.0 | stress: 8.0
Time point: 1176.0 | correctWork: 8.0
Time point: 1176.0 | stress: 9.0
Time point: 1364.0 | correctWork: 9.0
Time point: 1364.0 | stress: 10.0
Time point: 1480.0 | correctWork: 10.0
Time point: 1480.0 | stress: 11.0
Time point: 1496.0 | correctWork: 11.0
Time point: 1496.0 | stress: 12.0
