Time point: 1427.0 | correctWork: 1.0
Time point: 1427.0 | stress: 2.0
Time point: 2046.0 | correctWork: 2.0
Time point: 2046.0 | stress: 3.0
Time point: 2660.0 | correctWork: 3.0
Time point: 2660.0 | stress: 4.0
Time point: 3309.0 | correctWork: 4.0
Time point: 3309.0 | stress: 5.0
Time point: 3953.0 | correctWork: 5.0
Time point: 3953.0 | stress: 6.0
Time point: 4570.0 | correctWork: 6.0
Time point: 4570.0 | stress: 7.0
Time point: 1479.0 | correctWork: 1.0
Time point: 1480.0 | stress: 2.0
Time point: 2124.0 | correctWork: 2.0
Time point: 2125.0 | stress: 3.0
Time point: 2767.0 | correctWork: 3.0
Time point: 2768.0 | stress: 4.0
Time point: 3411.0 | correctWork: 4.0
Time point: 3412.0 | stress: 5.0
Time point: 1452.0 | correctWork: 1.0
Time point: 1453.0 | stress: 2.0
Time point: 2078.0 | correctWork: 2.0
Time point: 2079.0 | stress: 3.0
Time point: 2727.0 | correctWork: 3.0
Time point: 2728.0 | stress: 4.0
Time point: 3691.0 | correctWork: 4.0
Time point: 3692.0 | stress: 5.0
Time point: 4315.0 | correctWork: 5.0
Time point: 4316.0 | stress: 6.0
Time point: 4952.0 | correctWork: 6.0
Time point: 4953.0 | stress: 7.0
Time point: 5933.0 | correctWork: 7.0
Time point: 5934.0 | stress: 8.0
Time point: 6568.0 | correctWork: 8.0
Time point: 6569.0 | stress: 9.0
Time point: 7208.0 | correctWork: 9.0
Time point: 7209.0 | stress: 10.0
Time point: 7828.0 | correctWork: 10.0
Time point: 7829.0 | stress: 11.0
Time point: 8807.0 | correctWork: 11.0
Time point: 8808.0 | stress: 12.0
Time point: 9443.0 | correctWork: 12.0
Time point: 9444.0 | stress: 13.0
Time point: 10079.0 | correctWork: 13.0
Time point: 10080.0 | stress: 14.0
