Time point: 133.0 | correctWork: 1.0
Time point: 133.0 | stress: 2.0
Time point: 192.0 | correctWork: 2.0
Time point: 192.0 | stress: 3.0
Time point: 262.0 | correctWork: 3.0
Time point: 262.0 | stress: 4.0
Time point: 320.0 | correctWork: 4.0
Time point: 320.0 | stress: 5.0
Time point: 379.0 | correctWork: 5.0
Time point: 379.0 | stress: 6.0
Time point: 437.0 | correctWork: 6.0
Time point: 437.0 | stress: 7.0
Time point: 496.0 | correctWork: 7.0
Time point: 496.0 | stress: 8.0
Time point: 555.0 | mistakes: 1.0
Time point: 555.0 | stress: 16.0
Time point: 613.0 | correctWork: 8.0
Time point: 613.0 | stress: 17.0
Time point: 671.0 | correctWork: 9.0
Time point: 671.0 | stress: 18.0
Time point: 729.0 | correctWork: 10.0
Time point: 729.0 | stress: 19.0
Time point: 788.0 | correctWork: 11.0
Time point: 788.0 | stress: 20.0
Time point: 846.0 | correctWork: 12.0
Time point: 846.0 | stress: 21.0
Time point: 905.0 | correctWork: 13.0
Time point: 905.0 | stress: 22.0
Time point: 963.0 | mistakes: 2.0
Time point: 963.0 | stress: 30.0
Time point: 1021.0 | mistakes: 3.0
Time point: 1021.0 | stress: 38.0
Time point: 1079.0 | correctWork: 14.0
Time point: 1079.0 | stress: 39.0
Time point: 1137.0 | correctWork: 15.0
Time point: 1137.0 | stress: 40.0
Time point: 1195.0 | correctWork: 16.0
Time point: 1195.0 | stress: 41.0
Time point: 1253.0 | mistakes: 4.0
Time point: 1253.0 | stress: 49.0
