Time point: 462.0 | mistakes: 1.0
Time point: 462.0 | stress: 9.0
Time point: 584.0 | correctWork: 1.0
Time point: 584.0 | stress: 10.0
Time point: 719.0 | correctWork: 2.0
Time point: 719.0 | stress: 11.0
Time point: 780.0 | correctWork: 3.0
Time point: 780.0 | stress: 12.0
Time point: 985.0 | correctWork: 4.0
Time point: 985.0 | stress: 13.0
Time point: 1119.0 | correctWork: 5.0
Time point: 1119.0 | stress: 14.0
Time point: 1238.0 | correctWork: 6.0
Time point: 1238.0 | stress: 15.0
Time point: 1375.0 | correctWork: 7.0
Time point: 1375.0 | stress: 16.0
Time point: 1549.0 | correctWork: 8.0
Time point: 1549.0 | stress: 17.0
Time point: 1659.0 | correctWork: 9.0
Time point: 1659.0 | stress: 18.0
Time point: 1729.0 | mistakes: 2.0
Time point: 1729.0 | stress: 26.0
Time point: 1877.0 | correctWork: 10.0
Time point: 1877.0 | stress: 27.0
Time point: 1981.0 | correctWork: 11.0
Time point: 1981.0 | stress: 28.0
Time point: 2087.0 | mistakes: 3.0
Time point: 2087.0 | stress: 36.0
Time point: 2189.0 | correctWork: 12.0
Time point: 2189.0 | stress: 37.0
Time point: 2337.0 | correctWork: 13.0
Time point: 2337.0 | stress: 38.0
Time point: 2442.0 | correctWork: 14.0
Time point: 2442.0 | stress: 39.0
Time point: 2628.0 | correctWork: 15.0
Time point: 2628.0 | stress: 40.0
Time point: 2778.0 | correctWork: 16.0
Time point: 2778.0 | stress: 41.0
Time point: 2952.0 | correctWork: 17.0
Time point: 2952.0 | stress: 42.0
Time point: 3076.0 | mistakes: 4.0
Time point: 3076.0 | stress: 50.0
Time point: 3181.0 | correctWork: 18.0
Time point: 3181.0 | stress: 51.0
Time point: 3383.0 | mistakes: 5.0
Time point: 3383.0 | stress: 59.0
Time point: 3442.0 | correctWork: 19.0
Time point: 3442.0 | stress: 60.0
Time point: 3554.0 | correctWork: 20.0
Time point: 3554.0 | stress: 61.0
Time point: 3675.0 | correctWork: 21.0
Time point: 3675.0 | stress: 62.0
Time point: 3820.0 | correctWork: 22.0
Time point: 3820.0 | stress: 63.0
Time point: 3962.0 | mistakes: 6.0
Time point: 3962.0 | stress: 71.0
Time point: 1444.0 | correctWork: 1.0
Time point: 1445.0 | stress: 2.0
