Time point: 437.0 | correctWork: 1.0
Time point: 437.0 | stress: 2.0
Time point: 554.0 | correctWork: 2.0
Time point: 554.0 | stress: 3.0
Time point: 725.0 | correctWork: 3.0
Time point: 725.0 | stress: 4.0
Time point: 833.0 | correctWork: 4.0
Time point: 833.0 | stress: 5.0
Time point: 945.0 | correctWork: 5.0
Time point: 945.0 | stress: 6.0
Time point: 1159.0 | correctWork: 6.0
Time point: 1159.0 | stress: 7.0
Time point: 1195.0 | correctWork: 7.0
Time point: 1195.0 | stress: 8.0
Time point: 1360.0 | correctWork: 8.0
Time point: 1360.0 | stress: 9.0
Time point: 1479.0 | correctWork: 9.0
Time point: 1479.0 | stress: 10.0
Time point: 1596.0 | correctWork: 10.0
Time point: 1596.0 | stress: 11.0
Time point: 1720.0 | correctWork: 11.0
Time point: 1720.0 | stress: 12.0
Time point: 1943.0 | correctWork: 12.0
Time point: 1943.0 | stress: 13.0
Time point: 2049.0 | correctWork: 13.0
Time point: 2049.0 | stress: 14.0
Time point: 2164.0 | correctWork: 14.0
Time point: 2164.0 | stress: 15.0
Time point: 2279.0 | correctWork: 15.0
Time point: 2279.0 | stress: 16.0
Time point: 2399.0 | correctWork: 16.0
Time point: 2399.0 | stress: 17.0
Time point: 2555.0 | correctWork: 17.0
Time point: 2555.0 | stress: 18.0
Time point: 2676.0 | correctWork: 18.0
Time point: 2676.0 | stress: 19.0
Time point: 2795.0 | correctWork: 19.0
Time point: 2795.0 | stress: 20.0
