Time point: 385.0 | correctWork: 1.0
Time point: 385.0 | stress: 2.0
Time point: 472.0 | correctWork: 2.0
Time point: 472.0 | stress: 3.0
Time point: 614.0 | correctWork: 3.0
Time point: 614.0 | stress: 4.0
Time point: 865.0 | mistakes: 1.0
Time point: 865.0 | stress: 12.0
Time point: 968.0 | correctWork: 4.0
Time point: 968.0 | stress: 13.0
Time point: 1094.0 | correctWork: 5.0
Time point: 1094.0 | stress: 14.0
Time point: 1200.0 | correctWork: 6.0
Time point: 1200.0 | stress: 15.0
Time point: 1284.0 | correctWork: 7.0
Time point: 1284.0 | stress: 16.0
Time point: 1411.0 | correctWork: 8.0
Time point: 1411.0 | stress: 17.0
Time point: 1501.0 | mistakes: 2.0
Time point: 1501.0 | stress: 25.0
Time point: 1595.0 | correctWork: 9.0
Time point: 1595.0 | stress: 26.0
Time point: 1728.0 | correctWork: 10.0
Time point: 1728.0 | stress: 27.0
Time point: 1853.0 | correctWork: 11.0
Time point: 1853.0 | stress: 28.0
Time point: 2336.0 | correctWork: 12.0
Time point: 2336.0 | stress: 29.0
Time point: 2732.0 | mistakes: 3.0
Time point: 2732.0 | stress: 37.0
Time point: 2879.0 | correctWork: 13.0
Time point: 2879.0 | stress: 38.0
Time point: 2969.0 | correctWork: 14.0
Time point: 2969.0 | stress: 39.0
Time point: 3131.0 | correctWork: 15.0
Time point: 3131.0 | stress: 40.0
Time point: 3218.0 | correctWork: 16.0
Time point: 3218.0 | stress: 41.0
Time point: 3383.0 | correctWork: 17.0
Time point: 3383.0 | stress: 42.0
Time point: 3470.0 | correctWork: 18.0
Time point: 3470.0 | stress: 43.0
Time point: 3718.0 | correctWork: 19.0
Time point: 3718.0 | stress: 44.0
Time point: 3825.0 | mistakes: 4.0
Time point: 3825.0 | stress: 52.0
Time point: 3994.0 | correctWork: 20.0
Time point: 3994.0 | stress: 53.0
Time point: 4084.0 | correctWork: 21.0
Time point: 4084.0 | stress: 54.0
Time point: 4214.0 | correctWork: 22.0
Time point: 4214.0 | stress: 55.0
Time point: 4453.0 | correctWork: 23.0
Time point: 4453.0 | stress: 56.0
Time point: 4582.0 | correctWork: 24.0
Time point: 4582.0 | stress: 57.0
Time point: 4672.0 | mistakes: 5.0
Time point: 4672.0 | stress: 65.0
Time point: 4792.0 | mistakes: 6.0
Time point: 4792.0 | stress: 73.0
Time point: 5044.0 | correctWork: 25.0
Time point: 5044.0 | stress: 74.0
