Time point: 443.0 | correctWork: 1.0
Time point: 443.0 | stress: 2.0
Time point: 592.0 | correctWork: 2.0
Time point: 592.0 | stress: 3.0
Time point: 680.0 | correctWork: 3.0
Time point: 680.0 | stress: 4.0
Time point: 786.0 | correctWork: 4.0
Time point: 786.0 | stress: 5.0
Time point: 992.0 | correctWork: 5.0
Time point: 992.0 | stress: 6.0
Time point: 1159.0 | correctWork: 6.0
Time point: 1159.0 | stress: 7.0
Time point: 1368.0 | correctWork: 7.0
Time point: 1368.0 | stress: 8.0
Time point: 1474.0 | correctWork: 8.0
Time point: 1474.0 | stress: 9.0
Time point: 1563.0 | correctWork: 9.0
Time point: 1563.0 | stress: 10.0
Time point: 1660.0 | correctWork: 10.0
Time point: 1660.0 | stress: 11.0
Time point: 1813.0 | correctWork: 11.0
Time point: 1813.0 | stress: 12.0
Time point: 1907.0 | correctWork: 12.0
Time point: 1907.0 | stress: 13.0
Time point: 2104.0 | correctWork: 13.0
Time point: 2104.0 | stress: 14.0
Time point: 2314.0 | correctWork: 14.0
Time point: 2314.0 | stress: 15.0
Time point: 2421.0 | mistakes: 1.0
Time point: 2421.0 | stress: 23.0
Time point: 2526.0 | mistakes: 2.0
Time point: 2526.0 | stress: 31.0
Time point: 2630.0 | correctWork: 15.0
Time point: 2630.0 | stress: 32.0
Time point: 2818.0 | mistakes: 3.0
Time point: 2818.0 | stress: 40.0
Time point: 2924.0 | correctWork: 16.0
Time point: 2924.0 | stress: 41.0
Time point: 3176.0 | mistakes: 4.0
Time point: 3176.0 | stress: 49.0
Time point: 3280.0 | correctWork: 17.0
Time point: 3280.0 | stress: 50.0
Time point: 3448.0 | correctWork: 18.0
Time point: 3448.0 | stress: 51.0
Time point: 3550.0 | mistakes: 5.0
Time point: 3550.0 | stress: 59.0
Time point: 3806.0 | mistakes: 6.0
Time point: 3806.0 | stress: 67.0
Time point: 3965.0 | mistakes: 7.0
Time point: 3965.0 | stress: 75.0
Time point: 4058.0 | mistakes: 8.0
Time point: 4058.0 | stress: 83.0
Time point: 4184.0 | mistakes: 9.0
Time point: 4184.0 | stress: 91.0
Time point: 4350.0 | mistakes: 10.0
Time point: 4350.0 | stress: 99.0
Time point: 4521.0 | mistakes: 11.0
Time point: 4521.0 | stress: 107.0
Time point: 4686.0 | correctWork: 19.0
Time point: 4686.0 | stress: 108.0
Time point: 4775.0 | correctWork: 20.0
Time point: 4775.0 | stress: 109.0
Time point: 4876.0 | correctWork: 21.0
Time point: 4876.0 | stress: 110.0
Time point: 5023.0 | correctWork: 22.0
Time point: 5023.0 | stress: 111.0
