Time point: 1427.0 | correctWork: 1.0
Time point: 1428.0 | stress: 2.0
Time point: 2085.0 | correctWork: 2.0
Time point: 2086.0 | stress: 3.0
Time point: 2737.0 | correctWork: 3.0
Time point: 2738.0 | stress: 4.0
Time point: 3376.0 | correctWork: 4.0
Time point: 3377.0 | stress: 5.0
Time point: 4018.0 | correctWork: 5.0
Time point: 4019.0 | stress: 6.0
Time point: 4670.0 | correctWork: 6.0
Time point: 4671.0 | stress: 7.0
Time point: 5314.0 | correctWork: 7.0
Time point: 5315.0 | stress: 8.0
Time point: 5959.0 | correctWork: 8.0
Time point: 5960.0 | stress: 9.0
Time point: 7625.0 | correctWork: 9.0
Time point: 7626.0 | stress: 10.0
Time point: 8260.0 | correctWork: 10.0
Time point: 8261.0 | stress: 11.0
Time point: 8895.0 | correctWork: 11.0
Time point: 8896.0 | stress: 12.0
Time point: 9530.0 | correctWork: 12.0
Time point: 9531.0 | stress: 13.0
Time point: 10163.0 | correctWork: 13.0
Time point: 10164.0 | stress: 14.0
