Time point: 426.0 | correctWork: 1.0
Time point: 426.0 | stress: 2.0
Time point: 508.0 | correctWork: 2.0
Time point: 508.0 | stress: 3.0
Time point: 596.0 | correctWork: 3.0
Time point: 596.0 | stress: 4.0
Time point: 688.0 | correctWork: 4.0
Time point: 688.0 | stress: 5.0
Time point: 781.0 | correctWork: 5.0
Time point: 781.0 | stress: 6.0
Time point: 912.0 | correctWork: 6.0
Time point: 912.0 | stress: 7.0
Time point: 1035.0 | correctWork: 7.0
Time point: 1035.0 | stress: 8.0
Time point: 1164.0 | correctWork: 8.0
Time point: 1164.0 | stress: 9.0
Time point: 1258.0 | correctWork: 9.0
Time point: 1258.0 | stress: 10.0
Time point: 1367.0 | correctWork: 10.0
Time point: 1367.0 | stress: 11.0
Time point: 1461.0 | correctWork: 11.0
Time point: 1461.0 | stress: 12.0
Time point: 1734.0 | correctWork: 12.0
Time point: 1734.0 | stress: 13.0
Time point: 1825.0 | correctWork: 13.0
Time point: 1825.0 | stress: 14.0
Time point: 1969.0 | correctWork: 14.0
Time point: 1969.0 | stress: 15.0
Time point: 2062.0 | correctWork: 15.0
Time point: 2062.0 | stress: 16.0
Time point: 2145.0 | correctWork: 16.0
Time point: 2145.0 | stress: 17.0
Time point: 2239.0 | correctWork: 17.0
Time point: 2239.0 | stress: 18.0
Time point: 2331.0 | correctWork: 18.0
Time point: 2331.0 | stress: 19.0
Time point: 2426.0 | correctWork: 19.0
Time point: 2426.0 | stress: 20.0
Time point: 2581.0 | correctWork: 20.0
Time point: 2581.0 | stress: 21.0
Time point: 2601.0 | correctWork: 21.0
Time point: 2601.0 | stress: 22.0
Time point: 2762.0 | correctWork: 22.0
Time point: 2762.0 | stress: 23.0
Time point: 2893.0 | correctWork: 23.0
Time point: 2893.0 | stress: 24.0
Time point: 2985.0 | correctWork: 24.0
Time point: 2985.0 | stress: 25.0
Time point: 3077.0 | correctWork: 25.0
Time point: 3077.0 | stress: 26.0
Time point: 3170.0 | correctWork: 26.0
Time point: 3170.0 | stress: 27.0
Time point: 3258.0 | correctWork: 27.0
Time point: 3258.0 | stress: 28.0
Time point: 3411.0 | correctWork: 28.0
Time point: 3411.0 | stress: 29.0
Time point: 3503.0 | correctWork: 29.0
Time point: 3503.0 | stress: 30.0
Time point: 3595.0 | correctWork: 30.0
Time point: 3595.0 | stress: 31.0
Time point: 3688.0 | correctWork: 31.0
Time point: 3688.0 | stress: 32.0
Time point: 3751.0 | correctWork: 32.0
Time point: 3751.0 | stress: 33.0
Time point: 3843.0 | correctWork: 33.0
Time point: 3843.0 | stress: 34.0
Time point: 3938.0 | correctWork: 34.0
Time point: 3938.0 | stress: 35.0
Time point: 4056.0 | correctWork: 35.0
Time point: 4056.0 | stress: 36.0
Time point: 4150.0 | correctWork: 36.0
Time point: 4150.0 | stress: 37.0
Time point: 4251.0 | correctWork: 37.0
Time point: 4251.0 | stress: 38.0
Time point: 4344.0 | correctWork: 38.0
Time point: 4344.0 | stress: 39.0
Time point: 4473.0 | correctWork: 39.0
Time point: 4473.0 | stress: 40.0
Time point: 4566.0 | correctWork: 40.0
Time point: 4566.0 | stress: 41.0
Time point: 4690.0 | correctWork: 41.0
Time point: 4690.0 | stress: 42.0
Time point: 4830.0 | correctWork: 42.0
Time point: 4830.0 | stress: 43.0
Time point: 4924.0 | correctWork: 43.0
Time point: 4924.0 | stress: 44.0
Time point: 5042.0 | correctWork: 44.0
Time point: 5042.0 | stress: 45.0
Time point: 5143.0 | correctWork: 45.0
Time point: 5143.0 | stress: 46.0
Time point: 5236.0 | correctWork: 46.0
Time point: 5236.0 | stress: 47.0
Time point: 5322.0 | correctWork: 47.0
Time point: 5322.0 | stress: 48.0
