Time point: 412.0 | correctWork: 1.0
Time point: 412.0 | stress: 2.0
Time point: 555.0 | correctWork: 2.0
Time point: 555.0 | stress: 3.0
Time point: 615.0 | correctWork: 3.0
Time point: 615.0 | stress: 4.0
Time point: 795.0 | correctWork: 4.0
Time point: 795.0 | stress: 5.0
Time point: 901.0 | correctWork: 5.0
Time point: 901.0 | stress: 6.0
Time point: 1013.0 | correctWork: 6.0
Time point: 1013.0 | stress: 7.0
Time point: 1081.0 | correctWork: 7.0
Time point: 1081.0 | stress: 8.0
Time point: 1268.0 | correctWork: 8.0
Time point: 1268.0 | stress: 9.0
Time point: 1388.0 | correctWork: 9.0
Time point: 1388.0 | stress: 10.0
Time point: 1507.0 | correctWork: 10.0
Time point: 1507.0 | stress: 11.0
Time point: 1585.0 | correctWork: 11.0
Time point: 1585.0 | stress: 12.0
Time point: 1709.0 | correctWork: 12.0
Time point: 1709.0 | stress: 13.0
Time point: 1830.0 | correctWork: 13.0
Time point: 1830.0 | stress: 14.0
Time point: 1938.0 | correctWork: 14.0
Time point: 1938.0 | stress: 15.0
Time point: 2124.0 | correctWork: 15.0
Time point: 2124.0 | stress: 16.0
Time point: 2291.0 | correctWork: 16.0
Time point: 2291.0 | stress: 17.0
Time point: 2410.0 | mistakes: 1.0
Time point: 2410.0 | stress: 25.0
Time point: 2575.0 | correctWork: 17.0
Time point: 2575.0 | stress: 26.0
Time point: 2753.0 | correctWork: 18.0
Time point: 2753.0 | stress: 27.0
Time point: 2871.0 | correctWork: 19.0
Time point: 2871.0 | stress: 28.0
Time point: 2989.0 | correctWork: 20.0
Time point: 2989.0 | stress: 29.0
Time point: 3180.0 | correctWork: 21.0
Time point: 3180.0 | stress: 30.0
