Time point: 127.0 | correctWork: 1.0
Time point: 127.0 | stress: 2.0
Time point: 186.0 | correctWork: 2.0
Time point: 186.0 | stress: 3.0
Time point: 244.0 | correctWork: 3.0
Time point: 244.0 | stress: 4.0
Time point: 302.0 | correctWork: 4.0
Time point: 302.0 | stress: 5.0
Time point: 361.0 | correctWork: 5.0
Time point: 361.0 | stress: 6.0
Time point: 419.0 | correctWork: 6.0
Time point: 419.0 | stress: 7.0
Time point: 478.0 | correctWork: 7.0
Time point: 478.0 | stress: 8.0
Time point: 536.0 | correctWork: 8.0
Time point: 536.0 | stress: 9.0
Time point: 594.0 | correctWork: 9.0
Time point: 594.0 | stress: 10.0
Time point: 653.0 | correctWork: 10.0
Time point: 653.0 | stress: 11.0
Time point: 711.0 | correctWork: 11.0
Time point: 711.0 | stress: 12.0
Time point: 770.0 | mistakes: 1.0
Time point: 770.0 | stress: 20.0
Time point: 829.0 | correctWork: 12.0
Time point: 829.0 | stress: 21.0
Time point: 888.0 | correctWork: 13.0
Time point: 888.0 | stress: 22.0
Time point: 946.0 | correctWork: 14.0
Time point: 946.0 | stress: 23.0
Time point: 1004.0 | correctWork: 15.0
Time point: 1004.0 | stress: 24.0
