Time point: 229.0 | correctWork: 1.0
Time point: 229.0 | stress: 2.0
Time point: 407.0 | correctWork: 2.0
Time point: 407.0 | stress: 3.0
Time point: 497.0 | correctWork: 3.0
Time point: 497.0 | stress: 4.0
Time point: 640.0 | correctWork: 4.0
Time point: 640.0 | stress: 5.0
Time point: 729.0 | correctWork: 5.0
Time point: 729.0 | stress: 6.0
Time point: 856.0 | correctWork: 6.0
Time point: 856.0 | stress: 7.0
Time point: 1012.0 | correctWork: 7.0
Time point: 1012.0 | stress: 8.0
Time point: 1114.0 | correctWork: 8.0
Time point: 1114.0 | stress: 9.0
Time point: 1203.0 | correctWork: 9.0
Time point: 1203.0 | stress: 10.0
Time point: 1290.0 | correctWork: 10.0
Time point: 1290.0 | stress: 11.0
Time point: 1381.0 | correctWork: 11.0
Time point: 1381.0 | stress: 12.0
Time point: 1496.0 | correctWork: 12.0
Time point: 1496.0 | stress: 13.0
Time point: 1527.0 | correctWork: 13.0
Time point: 1527.0 | stress: 14.0
Time point: 1617.0 | correctWork: 14.0
Time point: 1617.0 | stress: 15.0
Time point: 1728.0 | correctWork: 15.0
Time point: 1728.0 | stress: 16.0
Time point: 1820.0 | correctWork: 16.0
Time point: 1820.0 | stress: 17.0
Time point: 1909.0 | correctWork: 17.0
Time point: 1909.0 | stress: 18.0
Time point: 1993.0 | correctWork: 18.0
Time point: 1993.0 | stress: 19.0
Time point: 2092.0 | correctWork: 19.0
Time point: 2092.0 | stress: 20.0
Time point: 2225.0 | correctWork: 20.0
Time point: 2225.0 | stress: 21.0
Time point: 2639.0 | correctWork: 21.0
Time point: 2639.0 | stress: 22.0
Time point: 2735.0 | correctWork: 22.0
Time point: 2735.0 | stress: 23.0
Time point: 2824.0 | correctWork: 23.0
Time point: 2824.0 | stress: 24.0
Time point: 2913.0 | correctWork: 24.0
Time point: 2913.0 | stress: 25.0
Time point: 3030.0 | correctWork: 25.0
Time point: 3030.0 | stress: 26.0
Time point: 3183.0 | correctWork: 26.0
Time point: 3183.0 | stress: 27.0
Time point: 3272.0 | correctWork: 27.0
Time point: 3272.0 | stress: 28.0
Time point: 3361.0 | correctWork: 28.0
Time point: 3361.0 | stress: 29.0
Time point: 3451.0 | correctWork: 29.0
Time point: 3451.0 | stress: 30.0
Time point: 3539.0 | correctWork: 30.0
Time point: 3539.0 | stress: 31.0
