Time point: 502.0 | correctWork: 1.0
Time point: 502.0 | stress: 2.0
Time point: 595.0 | correctWork: 2.0
Time point: 595.0 | stress: 3.0
Time point: 774.0 | correctWork: 3.0
Time point: 774.0 | stress: 4.0
Time point: 867.0 | correctWork: 4.0
Time point: 867.0 | stress: 5.0
Time point: 974.0 | correctWork: 5.0
Time point: 974.0 | stress: 6.0
Time point: 995.0 | correctWork: 6.0
Time point: 995.0 | stress: 7.0
Time point: 1123.0 | correctWork: 7.0
Time point: 1123.0 | stress: 8.0
Time point: 1216.0 | correctWork: 8.0
Time point: 1216.0 | stress: 9.0
Time point: 1309.0 | correctWork: 9.0
Time point: 1309.0 | stress: 10.0
Time point: 1402.0 | correctWork: 10.0
Time point: 1402.0 | stress: 11.0
Time point: 1529.0 | correctWork: 11.0
Time point: 1529.0 | stress: 12.0
Time point: 1635.0 | correctWork: 12.0
Time point: 1635.0 | stress: 13.0
Time point: 1727.0 | correctWork: 13.0
Time point: 1727.0 | stress: 14.0
Time point: 1775.0 | correctWork: 14.0
Time point: 1775.0 | stress: 15.0
Time point: 1916.0 | correctWork: 15.0
Time point: 1916.0 | stress: 16.0
Time point: 2009.0 | correctWork: 16.0
Time point: 2009.0 | stress: 17.0
Time point: 2082.0 | correctWork: 17.0
Time point: 2082.0 | stress: 18.0
Time point: 2207.0 | correctWork: 18.0
Time point: 2207.0 | stress: 19.0
Time point: 2301.0 | correctWork: 19.0
Time point: 2301.0 | stress: 20.0
Time point: 2423.0 | correctWork: 20.0
Time point: 2423.0 | stress: 21.0
Time point: 2473.0 | correctWork: 21.0
Time point: 2473.0 | stress: 22.0
Time point: 2656.0 | correctWork: 22.0
Time point: 2656.0 | stress: 23.0
Time point: 2847.0 | correctWork: 23.0
Time point: 2847.0 | stress: 24.0
Time point: 2954.0 | correctWork: 24.0
Time point: 2954.0 | stress: 25.0
Time point: 3046.0 | correctWork: 25.0
Time point: 3046.0 | stress: 26.0
Time point: 3166.0 | correctWork: 26.0
Time point: 3166.0 | stress: 27.0
Time point: 3263.0 | correctWork: 27.0
Time point: 3263.0 | stress: 28.0
Time point: 3355.0 | correctWork: 28.0
Time point: 3355.0 | stress: 29.0
Time point: 3429.0 | correctWork: 29.0
Time point: 3429.0 | stress: 30.0
Time point: 3487.0 | correctWork: 30.0
Time point: 3487.0 | stress: 31.0
Time point: 3579.0 | correctWork: 31.0
Time point: 3579.0 | stress: 32.0
Time point: 3668.0 | correctWork: 32.0
Time point: 3668.0 | stress: 33.0
Time point: 3821.0 | correctWork: 33.0
Time point: 3821.0 | stress: 34.0
Time point: 3886.0 | correctWork: 34.0
Time point: 3886.0 | stress: 35.0
Time point: 3981.0 | correctWork: 35.0
Time point: 3981.0 | stress: 36.0
Time point: 4181.0 | correctWork: 36.0
Time point: 4181.0 | stress: 37.0
Time point: 4273.0 | correctWork: 37.0
Time point: 4273.0 | stress: 38.0
Time point: 4420.0 | correctWork: 38.0
Time point: 4420.0 | stress: 39.0
Time point: 4501.0 | correctWork: 39.0
Time point: 4501.0 | stress: 40.0
Time point: 4596.0 | correctWork: 40.0
Time point: 4596.0 | stress: 41.0
Time point: 4689.0 | correctWork: 41.0
Time point: 4689.0 | stress: 42.0
Time point: 4782.0 | correctWork: 42.0
Time point: 4782.0 | stress: 43.0
Time point: 5002.0 | correctWork: 43.0
Time point: 5002.0 | stress: 44.0
Time point: 5131.0 | correctWork: 44.0
Time point: 5131.0 | stress: 45.0
Time point: 5223.0 | correctWork: 45.0
Time point: 5223.0 | stress: 46.0
Time point: 5360.0 | correctWork: 46.0
Time point: 5360.0 | stress: 47.0
Time point: 5468.0 | correctWork: 47.0
Time point: 5468.0 | stress: 48.0
Time point: 5740.0 | correctWork: 48.0
Time point: 5740.0 | stress: 49.0
Time point: 5848.0 | correctWork: 49.0
Time point: 5848.0 | stress: 50.0
Time point: 5965.0 | correctWork: 50.0
Time point: 5965.0 | stress: 51.0
Time point: 6102.0 | correctWork: 51.0
Time point: 6102.0 | stress: 52.0
Time point: 6194.0 | correctWork: 52.0
Time point: 6194.0 | stress: 53.0
Time point: 6355.0 | correctWork: 53.0
Time point: 6355.0 | stress: 54.0
Time point: 6525.0 | correctWork: 54.0
Time point: 6525.0 | stress: 55.0
Time point: 6615.0 | correctWork: 55.0
Time point: 6615.0 | stress: 56.0
Time point: 6749.0 | correctWork: 56.0
Time point: 6749.0 | stress: 57.0
Time point: 6841.0 | correctWork: 57.0
Time point: 6841.0 | stress: 58.0
Time point: 6935.0 | correctWork: 58.0
Time point: 6935.0 | stress: 59.0
Time point: 7101.0 | correctWork: 59.0
Time point: 7101.0 | stress: 60.0
Time point: 7195.0 | correctWork: 60.0
Time point: 7195.0 | stress: 61.0
Time point: 7287.0 | correctWork: 61.0
Time point: 7287.0 | stress: 62.0
Time point: 7436.0 | correctWork: 62.0
Time point: 7436.0 | stress: 63.0
Time point: 7528.0 | correctWork: 63.0
Time point: 7528.0 | stress: 64.0
Time point: 7620.0 | correctWork: 64.0
Time point: 7620.0 | stress: 65.0
Time point: 7720.0 | correctWork: 65.0
Time point: 7720.0 | stress: 66.0
Time point: 7813.0 | correctWork: 66.0
Time point: 7813.0 | stress: 67.0
Time point: 7906.0 | correctWork: 67.0
Time point: 7906.0 | stress: 68.0
Time point: 8052.0 | correctWork: 68.0
Time point: 8052.0 | stress: 69.0
Time point: 8145.0 | correctWork: 69.0
Time point: 8145.0 | stress: 70.0
Time point: 8229.0 | correctWork: 70.0
Time point: 8229.0 | stress: 71.0
Time point: 974.0 | correctWork: 1.0
Time point: 974.0 | stress: 2.0
