Time point: 380.0 | correctWork: 1.0
Time point: 380.0 | stress: 2.0
Time point: 503.0 | correctWork: 2.0
Time point: 503.0 | stress: 3.0
Time point: 611.0 | correctWork: 3.0
Time point: 611.0 | stress: 4.0
Time point: 717.0 | correctWork: 4.0
Time point: 717.0 | stress: 5.0
Time point: 855.0 | correctWork: 5.0
Time point: 855.0 | stress: 6.0
Time point: 997.0 | correctWork: 6.0
Time point: 997.0 | stress: 7.0
Time point: 1102.0 | mistakes: 1.0
Time point: 1102.0 | stress: 15.0
Time point: 1207.0 | correctWork: 7.0
Time point: 1207.0 | stress: 16.0
Time point: 1326.0 | correctWork: 8.0
Time point: 1326.0 | stress: 17.0
Time point: 1478.0 | correctWork: 9.0
Time point: 1478.0 | stress: 18.0
Time point: 1666.0 | correctWork: 10.0
Time point: 1666.0 | stress: 19.0
Time point: 1769.0 | correctWork: 11.0
Time point: 1769.0 | stress: 20.0
Time point: 1873.0 | correctWork: 12.0
Time point: 1873.0 | stress: 21.0
Time point: 2060.0 | correctWork: 13.0
Time point: 2060.0 | stress: 22.0
Time point: 2234.0 | correctWork: 14.0
Time point: 2234.0 | stress: 23.0
Time point: 2252.0 | correctWork: 15.0
Time point: 2252.0 | stress: 24.0
Time point: 2393.0 | correctWork: 16.0
Time point: 2393.0 | stress: 25.0
Time point: 2409.0 | correctWork: 17.0
Time point: 2409.0 | stress: 26.0
Time point: 2533.0 | correctWork: 18.0
Time point: 2533.0 | stress: 27.0
Time point: 2647.0 | correctWork: 19.0
Time point: 2647.0 | stress: 28.0
Time point: 2766.0 | correctWork: 20.0
Time point: 2766.0 | stress: 29.0
Time point: 2886.0 | mistakes: 2.0
Time point: 2886.0 | stress: 37.0
Time point: 2993.0 | correctWork: 21.0
Time point: 2993.0 | stress: 38.0
Time point: 3176.0 | correctWork: 22.0
Time point: 3176.0 | stress: 39.0
