Time point: 380.0 | correctWork: 1.0
Time point: 380.0 | stress: 2.0
Time point: 475.0 | correctWork: 2.0
Time point: 475.0 | stress: 3.0
Time point: 568.0 | correctWork: 3.0
Time point: 568.0 | stress: 4.0
Time point: 661.0 | correctWork: 4.0
Time point: 661.0 | stress: 5.0
Time point: 870.0 | correctWork: 5.0
Time point: 870.0 | stress: 6.0
Time point: 965.0 | correctWork: 6.0
Time point: 965.0 | stress: 7.0
Time point: 1058.0 | correctWork: 7.0
Time point: 1058.0 | stress: 8.0
Time point: 1078.0 | correctWork: 8.0
Time point: 1078.0 | stress: 9.0
Time point: 1171.0 | correctWork: 9.0
Time point: 1171.0 | stress: 10.0
Time point: 1264.0 | correctWork: 10.0
Time point: 1264.0 | stress: 11.0
Time point: 1359.0 | correctWork: 11.0
Time point: 1359.0 | stress: 12.0
Time point: 1394.0 | correctWork: 12.0
Time point: 1394.0 | stress: 13.0
Time point: 1495.0 | correctWork: 13.0
Time point: 1495.0 | stress: 14.0
Time point: 1584.0 | correctWork: 14.0
Time point: 1584.0 | stress: 15.0
Time point: 1662.0 | correctWork: 15.0
Time point: 1662.0 | stress: 16.0
Time point: 1756.0 | correctWork: 16.0
Time point: 1756.0 | stress: 17.0
Time point: 1906.0 | correctWork: 17.0
Time point: 1906.0 | stress: 18.0
Time point: 1990.0 | correctWork: 18.0
Time point: 1990.0 | stress: 19.0
Time point: 2110.0 | correctWork: 19.0
Time point: 2110.0 | stress: 20.0
Time point: 2202.0 | correctWork: 20.0
Time point: 2202.0 | stress: 21.0
Time point: 2295.0 | correctWork: 21.0
Time point: 2295.0 | stress: 22.0
Time point: 2389.0 | correctWork: 22.0
Time point: 2389.0 | stress: 23.0
Time point: 2527.0 | correctWork: 23.0
Time point: 2527.0 | stress: 24.0
Time point: 2617.0 | correctWork: 24.0
Time point: 2617.0 | stress: 25.0
Time point: 2693.0 | correctWork: 25.0
Time point: 2693.0 | stress: 26.0
Time point: 2772.0 | correctWork: 26.0
Time point: 2772.0 | stress: 27.0
Time point: 2892.0 | correctWork: 27.0
Time point: 2892.0 | stress: 28.0
Time point: 2943.0 | correctWork: 28.0
Time point: 2943.0 | stress: 29.0
Time point: 3037.0 | correctWork: 29.0
Time point: 3037.0 | stress: 30.0
Time point: 3184.0 | correctWork: 30.0
Time point: 3184.0 | stress: 31.0
Time point: 3204.0 | correctWork: 31.0
Time point: 3204.0 | stress: 32.0
Time point: 3297.0 | correctWork: 32.0
Time point: 3297.0 | stress: 33.0
Time point: 3464.0 | correctWork: 33.0
Time point: 3464.0 | stress: 34.0
Time point: 3524.0 | correctWork: 34.0
Time point: 3524.0 | stress: 35.0
Time point: 3750.0 | correctWork: 35.0
Time point: 3750.0 | stress: 36.0
Time point: 3844.0 | correctWork: 36.0
Time point: 3844.0 | stress: 37.0
Time point: 3911.0 | correctWork: 37.0
Time point: 3911.0 | stress: 38.0
Time point: 4095.0 | correctWork: 38.0
Time point: 4095.0 | stress: 39.0
Time point: 4188.0 | correctWork: 39.0
Time point: 4188.0 | stress: 40.0
Time point: 4279.0 | correctWork: 40.0
Time point: 4279.0 | stress: 41.0
Time point: 4365.0 | correctWork: 41.0
Time point: 4365.0 | stress: 42.0
Time point: 4502.0 | correctWork: 42.0
Time point: 4502.0 | stress: 43.0
Time point: 4593.0 | correctWork: 43.0
Time point: 4593.0 | stress: 44.0
Time point: 4748.0 | correctWork: 44.0
Time point: 4748.0 | stress: 45.0
Time point: 4842.0 | correctWork: 45.0
Time point: 4842.0 | stress: 46.0
Time point: 4935.0 | correctWork: 46.0
Time point: 4935.0 | stress: 47.0
Time point: 5119.0 | correctWork: 47.0
