Time point: 1263.0 | correctWork: 1.0
Time point: 1264.0 | stress: 2.0
Time point: 1895.0 | correctWork: 2.0
Time point: 1896.0 | stress: 3.0
Time point: 2528.0 | correctWork: 3.0
Time point: 2529.0 | stress: 4.0
Time point: 3170.0 | correctWork: 4.0
Time point: 3171.0 | stress: 5.0
Time point: 3812.0 | correctWork: 5.0
Time point: 3813.0 | stress: 6.0
Time point: 4447.0 | correctWork: 6.0
Time point: 4448.0 | stress: 7.0
Time point: 5793.0 | correctWork: 7.0
Time point: 5794.0 | stress: 8.0
Time point: 7136.0 | correctWork: 8.0
Time point: 7137.0 | stress: 9.0
Time point: 8123.0 | correctWork: 9.0
Time point: 8124.0 | stress: 10.0
Time point: 8744.0 | correctWork: 10.0
Time point: 8745.0 | stress: 11.0
Time point: 9395.0 | correctWork: 11.0
Time point: 9396.0 | stress: 12.0
Time point: 10030.0 | correctWork: 12.0
Time point: 10031.0 | stress: 13.0
Time point: 10665.0 | correctWork: 13.0
Time point: 10666.0 | stress: 14.0
