Time point: 1575.0 | correctWork: 1.0
Time point: 1576.0 | stress: 2.0
Time point: 2208.0 | correctWork: 2.0
Time point: 2209.0 | stress: 3.0
Time point: 2850.0 | correctWork: 3.0
Time point: 2851.0 | stress: 4.0
Time point: 3845.0 | correctWork: 4.0
Time point: 3846.0 | stress: 5.0
Time point: 4819.0 | correctWork: 5.0
Time point: 4820.0 | stress: 6.0
Time point: 5807.0 | correctWork: 6.0
Time point: 5808.0 | stress: 7.0
Time point: 6800.0 | correctWork: 7.0
Time point: 6801.0 | stress: 8.0
Time point: 7438.0 | correctWork: 8.0
Time point: 7439.0 | stress: 9.0
Time point: 8074.0 | correctWork: 9.0
Time point: 8075.0 | stress: 10.0
Time point: 8714.0 | correctWork: 10.0
Time point: 8715.0 | stress: 11.0
Time point: 9348.0 | correctWork: 11.0
Time point: 9349.0 | stress: 12.0
Time point: 9999.0 | correctWork: 12.0
Time point: 10000.0 | stress: 13.0
