Time point: 142.0 | correctWork: 1.0
Time point: 142.0 | stress: 2.0
Time point: 200.0 | correctWork: 2.0
Time point: 200.0 | stress: 3.0
Time point: 259.0 | mistakes: 1.0
Time point: 259.0 | stress: 11.0
Time point: 317.0 | correctWork: 3.0
Time point: 317.0 | stress: 12.0
Time point: 375.0 | correctWork: 4.0
Time point: 375.0 | stress: 13.0
Time point: 434.0 | correctWork: 5.0
Time point: 434.0 | stress: 14.0
Time point: 492.0 | correctWork: 6.0
Time point: 492.0 | stress: 15.0
Time point: 550.0 | correctWork: 7.0
Time point: 550.0 | stress: 16.0
Time point: 608.0 | correctWork: 8.0
Time point: 608.0 | stress: 17.0
Time point: 666.0 | correctWork: 9.0
Time point: 666.0 | stress: 18.0
Time point: 724.0 | correctWork: 10.0
Time point: 724.0 | stress: 19.0
Time point: 782.0 | correctWork: 11.0
Time point: 782.0 | stress: 20.0
Time point: 840.0 | correctWork: 12.0
Time point: 840.0 | stress: 21.0
Time point: 898.0 | correctWork: 13.0
Time point: 898.0 | stress: 22.0
Time point: 957.0 | mistakes: 2.0
Time point: 957.0 | stress: 30.0
