Time point: 399.0 | correctWork: 1.0
Time point: 399.0 | stress: 2.0
Time point: 536.0 | correctWork: 2.0
Time point: 536.0 | stress: 3.0
Time point: 642.0 | correctWork: 3.0
Time point: 642.0 | stress: 4.0
Time point: 748.0 | correctWork: 4.0
Time point: 748.0 | stress: 5.0
Time point: 847.0 | correctWork: 5.0
Time point: 847.0 | stress: 6.0
Time point: 955.0 | correctWork: 6.0
Time point: 955.0 | stress: 7.0
Time point: 1087.0 | correctWork: 7.0
Time point: 1087.0 | stress: 8.0
Time point: 1206.0 | correctWork: 8.0
Time point: 1206.0 | stress: 9.0
Time point: 1321.0 | correctWork: 9.0
Time point: 1321.0 | stress: 10.0
Time point: 1337.0 | correctWork: 10.0
Time point: 1337.0 | stress: 11.0
Time point: 1499.0 | correctWork: 11.0
Time point: 1499.0 | stress: 12.0
