Time point: 1257.0 | correctWork: 1.0
Time point: 1257.0 | stress: 2.0
Time point: 1906.0 | correctWork: 2.0
Time point: 1906.0 | stress: 3.0
Time point: 2530.0 | correctWork: 3.0
Time point: 2530.0 | stress: 4.0
Time point: 3175.0 | correctWork: 4.0
Time point: 3175.0 | stress: 5.0
Time point: 3807.0 | correctWork: 5.0
Time point: 3807.0 | stress: 6.0
Time point: 1448.0 | correctWork: 1.0
Time point: 1449.0 | stress: 2.0
Time point: 2093.0 | correctWork: 2.0
Time point: 2094.0 | stress: 3.0
Time point: 2743.0 | correctWork: 3.0
Time point: 2744.0 | stress: 4.0
Time point: 3394.0 | correctWork: 4.0
Time point: 3395.0 | stress: 5.0
Time point: 1449.0 | correctWork: 1.0
Time point: 1450.0 | stress: 2.0
Time point: 2123.0 | correctWork: 2.0
Time point: 2124.0 | stress: 3.0
Time point: 2769.0 | correctWork: 3.0
Time point: 2770.0 | stress: 4.0
Time point: 3406.0 | correctWork: 4.0
Time point: 3407.0 | stress: 5.0
Time point: 4031.0 | correctWork: 5.0
Time point: 4032.0 | stress: 6.0
Time point: 4660.0 | correctWork: 6.0
Time point: 4661.0 | stress: 7.0
Time point: 5300.0 | correctWork: 7.0
Time point: 5301.0 | stress: 8.0
Time point: 5947.0 | correctWork: 8.0
Time point: 5948.0 | stress: 9.0
Time point: 6590.0 | correctWork: 9.0
Time point: 6591.0 | stress: 10.0
Time point: 7575.0 | correctWork: 10.0
Time point: 7576.0 | stress: 11.0
Time point: 8550.0 | correctWork: 11.0
Time point: 8551.0 | stress: 12.0
Time point: 9177.0 | correctWork: 12.0
Time point: 9178.0 | stress: 13.0
Time point: 9812.0 | correctWork: 13.0
Time point: 9813.0 | stress: 14.0
Time point: 10446.0 | correctWork: 14.0
Time point: 10447.0 | stress: 15.0
