Time point: 298.0 | correctWork: 1.0
Time point: 298.0 | stress: 2.0
Time point: 413.0 | correctWork: 2.0
Time point: 413.0 | stress: 3.0
Time point: 504.0 | correctWork: 3.0
Time point: 504.0 | stress: 4.0
Time point: 617.0 | correctWork: 4.0
Time point: 617.0 | stress: 5.0
Time point: 728.0 | correctWork: 5.0
Time point: 728.0 | stress: 6.0
Time point: 871.0 | correctWork: 6.0
Time point: 871.0 | stress: 7.0
Time point: 983.0 | correctWork: 7.0
Time point: 983.0 | stress: 8.0
Time point: 1120.0 | correctWork: 8.0
Time point: 1120.0 | stress: 9.0
Time point: 1209.0 | correctWork: 9.0
Time point: 1209.0 | stress: 10.0
Time point: 1367.0 | correctWork: 10.0
Time point: 1367.0 | stress: 11.0
Time point: 1454.0 | correctWork: 11.0
Time point: 1454.0 | stress: 12.0
Time point: 1496.0 | correctWork: 12.0
Time point: 1496.0 | stress: 13.0
Time point: 1646.0 | correctWork: 13.0
Time point: 1646.0 | stress: 14.0
Time point: 1747.0 | mistakes: 1.0
Time point: 1747.0 | stress: 22.0
Time point: 1837.0 | correctWork: 14.0
Time point: 1837.0 | stress: 23.0
Time point: 1932.0 | correctWork: 15.0
Time point: 1932.0 | stress: 24.0
Time point: 2063.0 | correctWork: 16.0
Time point: 2063.0 | stress: 25.0
Time point: 2270.0 | correctWork: 17.0
Time point: 2270.0 | stress: 26.0
Time point: 2422.0 | correctWork: 18.0
Time point: 2422.0 | stress: 27.0
Time point: 2515.0 | correctWork: 19.0
Time point: 2515.0 | stress: 28.0
Time point: 2608.0 | mistakes: 2.0
Time point: 2608.0 | stress: 36.0
Time point: 2717.0 | correctWork: 20.0
Time point: 2717.0 | stress: 37.0
Time point: 2828.0 | correctWork: 21.0
Time point: 2828.0 | stress: 38.0
Time point: 2967.0 | mistakes: 3.0
Time point: 2967.0 | stress: 46.0
Time point: 3058.0 | mistakes: 4.0
Time point: 3058.0 | stress: 54.0
Time point: 3156.0 | correctWork: 22.0
Time point: 3156.0 | stress: 55.0
Time point: 3344.0 | correctWork: 23.0
Time point: 3344.0 | stress: 56.0
Time point: 3434.0 | correctWork: 24.0
Time point: 3434.0 | stress: 57.0
Time point: 3702.0 | correctWork: 25.0
Time point: 3702.0 | stress: 58.0
Time point: 3797.0 | correctWork: 26.0
Time point: 3797.0 | stress: 59.0
