Time point: 490.0 | correctWork: 1.0
Time point: 490.0 | stress: 2.0
Time point: 621.0 | correctWork: 2.0
Time point: 621.0 | stress: 3.0
Time point: 786.0 | correctWork: 3.0
Time point: 786.0 | stress: 4.0
Time point: 892.0 | correctWork: 4.0
Time point: 892.0 | stress: 5.0
Time point: 1058.0 | correctWork: 5.0
Time point: 1058.0 | stress: 6.0
Time point: 1180.0 | correctWork: 6.0
Time point: 1180.0 | stress: 7.0
Time point: 1332.0 | correctWork: 7.0
Time point: 1332.0 | stress: 8.0
Time point: 1435.0 | correctWork: 8.0
Time point: 1435.0 | stress: 9.0
Time point: 1591.0 | correctWork: 9.0
Time point: 1591.0 | stress: 10.0
Time point: 1737.0 | correctWork: 10.0
Time point: 1737.0 | stress: 11.0
Time point: 1924.0 | correctWork: 11.0
Time point: 1924.0 | stress: 12.0
Time point: 2110.0 | correctWork: 12.0
Time point: 2110.0 | stress: 13.0
Time point: 2235.0 | correctWork: 13.0
Time point: 2235.0 | stress: 14.0
Time point: 2359.0 | correctWork: 14.0
Time point: 2359.0 | stress: 15.0
Time point: 2525.0 | correctWork: 15.0
Time point: 2525.0 | stress: 16.0
Time point: 2631.0 | correctWork: 16.0
Time point: 2631.0 | stress: 17.0
Time point: 2820.0 | mistakes: 1.0
Time point: 2820.0 | stress: 25.0
Time point: 3009.0 | correctWork: 17.0
Time point: 3009.0 | stress: 26.0
Time point: 3177.0 | correctWork: 18.0
Time point: 3177.0 | stress: 27.0
Time point: 3350.0 | mistakes: 2.0
Time point: 3350.0 | stress: 35.0
Time point: 3458.0 | correctWork: 19.0
Time point: 3458.0 | stress: 36.0
Time point: 3603.0 | correctWork: 20.0
Time point: 3603.0 | stress: 37.0
Time point: 3713.0 | correctWork: 21.0
Time point: 3713.0 | stress: 38.0
Time point: 3934.0 | mistakes: 3.0
Time point: 3934.0 | stress: 46.0
Time point: 4044.0 | correctWork: 22.0
Time point: 4044.0 | stress: 47.0
