Time point: 1271.0 | correctWork: 1.0
Time point: 1272.0 | stress: 2.0
Time point: 1919.0 | correctWork: 2.0
Time point: 1920.0 | stress: 3.0
Time point: 2543.0 | correctWork: 3.0
Time point: 2544.0 | stress: 4.0
Time point: 3183.0 | correctWork: 4.0
Time point: 3184.0 | stress: 5.0
Time point: 3822.0 | correctWork: 5.0
Time point: 3823.0 | stress: 6.0
Time point: 4457.0 | correctWork: 6.0
Time point: 4458.0 | stress: 7.0
Time point: 5088.0 | correctWork: 7.0
Time point: 5089.0 | stress: 8.0
Time point: 5727.0 | correctWork: 8.0
Time point: 5728.0 | stress: 9.0
Time point: 6355.0 | correctWork: 9.0
Time point: 6356.0 | stress: 10.0
Time point: 6994.0 | correctWork: 10.0
Time point: 6995.0 | stress: 11.0
Time point: 7634.0 | correctWork: 11.0
Time point: 7635.0 | stress: 12.0
Time point: 8633.0 | correctWork: 12.0
Time point: 8634.0 | stress: 13.0
