Time point: 487.0 | correctWork: 1.0
Time point: 487.0 | stress: 2.0
Time point: 595.0 | correctWork: 2.0
Time point: 595.0 | stress: 3.0
Time point: 701.0 | mistakes: 1.0
Time point: 701.0 | stress: 11.0
Time point: 790.0 | correctWork: 3.0
Time point: 790.0 | stress: 12.0
Time point: 871.0 | correctWork: 4.0
Time point: 871.0 | stress: 13.0
Time point: 983.0 | correctWork: 5.0
Time point: 983.0 | stress: 14.0
Time point: 1145.0 | correctWork: 6.0
Time point: 1145.0 | stress: 15.0
Time point: 1246.0 | correctWork: 7.0
Time point: 1246.0 | stress: 16.0
Time point: 1349.0 | correctWork: 8.0
Time point: 1349.0 | stress: 17.0
Time point: 1952.0 | correctWork: 9.0
Time point: 1952.0 | stress: 18.0
Time point: 2103.0 | correctWork: 10.0
Time point: 2103.0 | stress: 19.0
Time point: 2191.0 | correctWork: 11.0
Time point: 2191.0 | stress: 20.0
Time point: 2294.0 | correctWork: 12.0
Time point: 2294.0 | stress: 21.0
Time point: 2548.0 | correctWork: 13.0
Time point: 2548.0 | stress: 22.0
Time point: 2758.0 | correctWork: 14.0
Time point: 2758.0 | stress: 23.0
Time point: 2869.0 | correctWork: 15.0
Time point: 2869.0 | stress: 24.0
Time point: 2966.0 | correctWork: 16.0
Time point: 2966.0 | stress: 25.0
Time point: 3114.0 | correctWork: 17.0
Time point: 3114.0 | stress: 26.0
Time point: 3205.0 | correctWork: 18.0
Time point: 3205.0 | stress: 27.0
Time point: 3446.0 | mistakes: 2.0
Time point: 3446.0 | stress: 35.0
Time point: 3533.0 | mistakes: 3.0
Time point: 3533.0 | stress: 43.0
Time point: 3636.0 | correctWork: 19.0
Time point: 3636.0 | stress: 44.0
Time point: 3724.0 | correctWork: 20.0
Time point: 3724.0 | stress: 45.0
Time point: 3868.0 | correctWork: 21.0
Time point: 3868.0 | stress: 46.0
