Time point: 375.0 | correctWork: 1.0
Time point: 375.0 | stress: 2.0
Time point: 488.0 | mistakes: 1.0
Time point: 488.0 | stress: 10.0
Time point: 909.0 | correctWork: 2.0
Time point: 909.0 | stress: 11.0
Time point: 1018.0 | correctWork: 3.0
Time point: 1018.0 | stress: 12.0
Time point: 1097.0 | correctWork: 4.0
Time point: 1097.0 | stress: 13.0
Time point: 1266.0 | correctWork: 5.0
Time point: 1266.0 | stress: 14.0
Time point: 1414.0 | correctWork: 6.0
Time point: 1414.0 | stress: 15.0
Time point: 1601.0 | correctWork: 7.0
Time point: 1601.0 | stress: 16.0
Time point: 1687.0 | correctWork: 8.0
Time point: 1687.0 | stress: 17.0
Time point: 1854.0 | correctWork: 9.0
Time point: 1854.0 | stress: 18.0
Time point: 1999.0 | correctWork: 10.0
Time point: 1999.0 | stress: 19.0
Time point: 2144.0 | correctWork: 11.0
Time point: 2144.0 | stress: 20.0
Time point: 2233.0 | mistakes: 2.0
Time point: 2233.0 | stress: 28.0
Time point: 2568.0 | correctWork: 12.0
Time point: 2568.0 | stress: 29.0
Time point: 2693.0 | correctWork: 13.0
Time point: 2693.0 | stress: 30.0
Time point: 2884.0 | correctWork: 14.0
Time point: 2884.0 | stress: 31.0
Time point: 2984.0 | mistakes: 3.0
Time point: 2984.0 | stress: 39.0
Time point: 3068.0 | correctWork: 15.0
Time point: 3068.0 | stress: 40.0
Time point: 3154.0 | correctWork: 16.0
Time point: 3154.0 | stress: 41.0
Time point: 3381.0 | correctWork: 17.0
Time point: 3381.0 | stress: 42.0
Time point: 3488.0 | mistakes: 4.0
Time point: 3488.0 | stress: 50.0
Time point: 3597.0 | correctWork: 18.0
Time point: 3597.0 | stress: 51.0
