Time point: 325.0 | correctWork: 1.0
Time point: 325.0 | stress: 2.0
Time point: 417.0 | correctWork: 2.0
Time point: 417.0 | stress: 3.0
Time point: 513.0 | correctWork: 3.0
Time point: 513.0 | stress: 4.0
Time point: 533.0 | correctWork: 4.0
Time point: 533.0 | stress: 5.0
Time point: 627.0 | correctWork: 5.0
Time point: 627.0 | stress: 6.0
Time point: 720.0 | correctWork: 6.0
Time point: 720.0 | stress: 7.0
Time point: 841.0 | correctWork: 7.0
Time point: 841.0 | stress: 8.0
Time point: 933.0 | correctWork: 8.0
Time point: 933.0 | stress: 9.0
Time point: 1028.0 | correctWork: 9.0
Time point: 1028.0 | stress: 10.0
Time point: 1150.0 | correctWork: 10.0
Time point: 1150.0 | stress: 11.0
Time point: 1243.0 | correctWork: 11.0
Time point: 1243.0 | stress: 12.0
Time point: 1336.0 | correctWork: 12.0
Time point: 1336.0 | stress: 13.0
Time point: 1433.0 | correctWork: 13.0
Time point: 1433.0 | stress: 14.0
Time point: 1526.0 | correctWork: 14.0
Time point: 1526.0 | stress: 15.0
Time point: 1679.0 | correctWork: 15.0
Time point: 1679.0 | stress: 16.0
Time point: 1772.0 | correctWork: 16.0
Time point: 1772.0 | stress: 17.0
Time point: 1866.0 | correctWork: 17.0
Time point: 1866.0 | stress: 18.0
Time point: 1959.0 | correctWork: 18.0
Time point: 1959.0 | stress: 19.0
Time point: 2053.0 | correctWork: 19.0
Time point: 2053.0 | stress: 20.0
Time point: 2155.0 | correctWork: 20.0
Time point: 2155.0 | stress: 21.0
Time point: 2288.0 | correctWork: 21.0
Time point: 2288.0 | stress: 22.0
Time point: 2381.0 | correctWork: 22.0
Time point: 2381.0 | stress: 23.0
Time point: 2476.0 | correctWork: 23.0
Time point: 2476.0 | stress: 24.0
Time point: 2569.0 | correctWork: 24.0
Time point: 2569.0 | stress: 25.0
Time point: 2706.0 | correctWork: 25.0
Time point: 2706.0 | stress: 26.0
Time point: 2799.0 | correctWork: 26.0
Time point: 2799.0 | stress: 27.0
Time point: 2819.0 | correctWork: 27.0
Time point: 2819.0 | stress: 28.0
Time point: 2912.0 | correctWork: 28.0
Time point: 2912.0 | stress: 29.0
Time point: 3006.0 | correctWork: 29.0
Time point: 3006.0 | stress: 30.0
Time point: 3100.0 | correctWork: 30.0
Time point: 3100.0 | stress: 31.0
Time point: 3193.0 | correctWork: 31.0
Time point: 3193.0 | stress: 32.0
Time point: 3286.0 | correctWork: 32.0
Time point: 3286.0 | stress: 33.0
Time point: 3460.0 | correctWork: 33.0
Time point: 3460.0 | stress: 34.0
Time point: 3585.0 | correctWork: 34.0
Time point: 3585.0 | stress: 35.0
Time point: 3730.0 | correctWork: 35.0
Time point: 3730.0 | stress: 36.0
Time point: 3824.0 | correctWork: 36.0
Time point: 3824.0 | stress: 37.0
Time point: 3944.0 | correctWork: 37.0
Time point: 3944.0 | stress: 38.0
Time point: 4053.0 | correctWork: 38.0
Time point: 4053.0 | stress: 39.0
Time point: 4178.0 | correctWork: 39.0
Time point: 4178.0 | stress: 40.0
Time point: 4285.0 | correctWork: 40.0
Time point: 4285.0 | stress: 41.0
Time point: 4379.0 | correctWork: 41.0
Time point: 4379.0 | stress: 42.0
Time point: 4474.0 | correctWork: 42.0
Time point: 4474.0 | stress: 43.0
Time point: 4610.0 | correctWork: 43.0
Time point: 4610.0 | stress: 44.0
Time point: 4703.0 | correctWork: 44.0
Time point: 4703.0 | stress: 45.0
Time point: 4902.0 | correctWork: 45.0
Time point: 4902.0 | stress: 46.0
Time point: 4948.0 | correctWork: 46.0
Time point: 4948.0 | stress: 47.0
Time point: 5060.0 | correctWork: 47.0
Time point: 5060.0 | stress: 48.0
Time point: 5157.0 | correctWork: 48.0
Time point: 5157.0 | stress: 49.0
Time point: 5269.0 | correctWork: 49.0
Time point: 5269.0 | stress: 50.0
Time point: 5405.0 | correctWork: 50.0
Time point: 5405.0 | stress: 51.0
Time point: 5561.0 | correctWork: 51.0
Time point: 5561.0 | stress: 52.0
Time point: 5645.0 | correctWork: 52.0
Time point: 5645.0 | stress: 53.0
Time point: 5765.0 | correctWork: 53.0
Time point: 5765.0 | stress: 54.0
Time point: 5859.0 | correctWork: 54.0
Time point: 5859.0 | stress: 55.0
Time point: 5952.0 | correctWork: 55.0
Time point: 5952.0 | stress: 56.0
Time point: 6092.0 | correctWork: 56.0
Time point: 6092.0 | stress: 57.0
Time point: 6220.0 | correctWork: 57.0
Time point: 6220.0 | stress: 58.0
Time point: 6314.0 | correctWork: 58.0
Time point: 6314.0 | stress: 59.0
Time point: 6407.0 | correctWork: 59.0
Time point: 6407.0 | stress: 60.0
Time point: 6555.0 | correctWork: 60.0
Time point: 6555.0 | stress: 61.0
Time point: 6683.0 | correctWork: 61.0
Time point: 6683.0 | stress: 62.0
Time point: 6753.0 | correctWork: 62.0
Time point: 6753.0 | stress: 63.0
Time point: 6825.0 | correctWork: 63.0
Time point: 6825.0 | stress: 64.0
Time point: 6903.0 | correctWork: 64.0
Time point: 6903.0 | stress: 65.0
Time point: 7017.0 | correctWork: 65.0
Time point: 7017.0 | stress: 66.0
Time point: 7110.0 | correctWork: 66.0
Time point: 7110.0 | stress: 67.0
Time point: 7255.0 | correctWork: 67.0
Time point: 7255.0 | stress: 68.0
Time point: 7389.0 | correctWork: 68.0
Time point: 7389.0 | stress: 69.0
Time point: 7456.0 | correctWork: 69.0
Time point: 7456.0 | stress: 70.0
Time point: 7482.0 | correctWork: 70.0
Time point: 7482.0 | stress: 71.0
Time point: 7596.0 | correctWork: 71.0
Time point: 7596.0 | stress: 72.0
Time point: 7689.0 | correctWork: 72.0
Time point: 7689.0 | stress: 73.0
Time point: 7783.0 | correctWork: 73.0
Time point: 7783.0 | stress: 74.0
Time point: 7916.0 | correctWork: 74.0
Time point: 7916.0 | stress: 75.0
Time point: 8008.0 | correctWork: 75.0
Time point: 8008.0 | stress: 76.0
Time point: 8091.0 | correctWork: 76.0
Time point: 8091.0 | stress: 77.0
Time point: 8185.0 | correctWork: 77.0
Time point: 8185.0 | stress: 78.0
Time point: 8278.0 | correctWork: 78.0
Time point: 8278.0 | stress: 79.0
Time point: 8341.0 | correctWork: 79.0
Time point: 8341.0 | stress: 80.0
