Time point: 352.0 | correctWork: 1.0
Time point: 352.0 | stress: 2.0
Time point: 463.0 | correctWork: 2.0
Time point: 463.0 | stress: 3.0
Time point: 655.0 | mistakes: 1.0
Time point: 655.0 | stress: 11.0
Time point: 745.0 | correctWork: 3.0
Time point: 745.0 | stress: 12.0
Time point: 866.0 | correctWork: 4.0
Time point: 866.0 | stress: 13.0
Time point: 1009.0 | correctWork: 5.0
Time point: 1009.0 | stress: 14.0
Time point: 1132.0 | correctWork: 6.0
Time point: 1132.0 | stress: 15.0
Time point: 1223.0 | mistakes: 2.0
Time point: 1223.0 | stress: 23.0
Time point: 1329.0 | correctWork: 7.0
Time point: 1329.0 | stress: 24.0
Time point: 1578.0 | correctWork: 8.0
Time point: 1578.0 | stress: 25.0
Time point: 1733.0 | mistakes: 3.0
Time point: 1733.0 | stress: 33.0
Time point: 1826.0 | correctWork: 9.0
Time point: 1826.0 | stress: 34.0
Time point: 1914.0 | correctWork: 10.0
Time point: 1914.0 | stress: 35.0
Time point: 2083.0 | correctWork: 11.0
Time point: 2083.0 | stress: 36.0
Time point: 2211.0 | correctWork: 12.0
Time point: 2211.0 | stress: 37.0
Time point: 2312.0 | correctWork: 13.0
Time point: 2312.0 | stress: 38.0
Time point: 2399.0 | correctWork: 14.0
Time point: 2399.0 | stress: 39.0
Time point: 2548.0 | correctWork: 15.0
Time point: 2548.0 | stress: 40.0
Time point: 2692.0 | correctWork: 16.0
Time point: 2692.0 | stress: 41.0
Time point: 2862.0 | correctWork: 17.0
Time point: 2862.0 | stress: 42.0
Time point: 3238.0 | correctWork: 18.0
Time point: 3238.0 | stress: 43.0
Time point: 3446.0 | correctWork: 19.0
Time point: 3446.0 | stress: 44.0
Time point: 3637.0 | correctWork: 20.0
Time point: 3637.0 | stress: 45.0
Time point: 3742.0 | correctWork: 21.0
Time point: 3742.0 | stress: 46.0
Time point: 3888.0 | mistakes: 4.0
Time point: 3888.0 | stress: 54.0
Time point: 4014.0 | correctWork: 22.0
Time point: 4014.0 | stress: 55.0
Time point: 4163.0 | correctWork: 23.0
Time point: 4163.0 | stress: 56.0
Time point: 4233.0 | correctWork: 24.0
Time point: 4233.0 | stress: 57.0
Time point: 4371.0 | mistakes: 5.0
Time point: 4371.0 | stress: 65.0
Time point: 4497.0 | correctWork: 25.0
Time point: 4497.0 | stress: 66.0
Time point: 4623.0 | correctWork: 26.0
Time point: 4623.0 | stress: 67.0
Time point: 4709.0 | correctWork: 27.0
Time point: 4709.0 | stress: 68.0
Time point: 4812.0 | correctWork: 28.0
Time point: 4812.0 | stress: 69.0
Time point: 5110.0 | correctWork: 29.0
Time point: 5110.0 | stress: 70.0
Time point: 5213.0 | mistakes: 6.0
Time point: 5213.0 | stress: 78.0
Time point: 5527.0 | mistakes: 7.0
Time point: 5527.0 | stress: 86.0
Time point: 5614.0 | mistakes: 8.0
Time point: 5614.0 | stress: 94.0
Time point: 5803.0 | mistakes: 9.0
Time point: 5803.0 | stress: 102.0
Time point: 5925.0 | correctWork: 30.0
Time point: 5925.0 | stress: 103.0
Time point: 6052.0 | correctWork: 31.0
Time point: 6052.0 | stress: 104.0
Time point: 6179.0 | correctWork: 32.0
Time point: 6179.0 | stress: 105.0
Time point: 6303.0 | correctWork: 33.0
Time point: 6303.0 | stress: 106.0
Time point: 6388.0 | correctWork: 34.0
Time point: 6388.0 | stress: 107.0
Time point: 6556.0 | correctWork: 35.0
Time point: 6556.0 | stress: 108.0
Time point: 6768.0 | correctWork: 36.0
Time point: 6768.0 | stress: 109.0
Time point: 6914.0 | correctWork: 37.0
Time point: 6914.0 | stress: 110.0
Time point: 7017.0 | correctWork: 38.0
Time point: 7017.0 | stress: 111.0
Time point: 7166.0 | correctWork: 39.0
Time point: 7166.0 | stress: 112.0
Time point: 7335.0 | correctWork: 40.0
Time point: 7335.0 | stress: 113.0
Time point: 7438.0 | correctWork: 41.0
Time point: 7438.0 | stress: 114.0
Time point: 7522.0 | correctWork: 42.0
Time point: 7522.0 | stress: 115.0
Time point: 7627.0 | correctWork: 43.0
Time point: 7627.0 | stress: 116.0
Time point: 7714.0 | correctWork: 44.0
Time point: 7714.0 | stress: 117.0
