Time point: 264.0 | correctWork: 1.0
Time point: 264.0 | stress: 2.0
Time point: 377.0 | correctWork: 2.0
Time point: 377.0 | stress: 3.0
Time point: 471.0 | correctWork: 3.0
Time point: 471.0 | stress: 4.0
Time point: 600.0 | correctWork: 4.0
Time point: 600.0 | stress: 5.0
Time point: 684.0 | correctWork: 5.0
Time point: 684.0 | stress: 6.0
Time point: 826.0 | correctWork: 6.0
Time point: 826.0 | stress: 7.0
Time point: 922.0 | correctWork: 7.0
Time point: 922.0 | stress: 8.0
Time point: 1085.0 | correctWork: 8.0
Time point: 1085.0 | stress: 9.0
Time point: 1230.0 | correctWork: 9.0
Time point: 1230.0 | stress: 10.0
Time point: 1323.0 | correctWork: 10.0
Time point: 1323.0 | stress: 11.0
Time point: 1414.0 | correctWork: 11.0
Time point: 1414.0 | stress: 12.0
Time point: 1449.0 | correctWork: 12.0
Time point: 1449.0 | stress: 13.0
Time point: 1581.0 | correctWork: 13.0
Time point: 1581.0 | stress: 14.0
Time point: 1601.0 | correctWork: 14.0
Time point: 1601.0 | stress: 15.0
Time point: 1621.0 | correctWork: 15.0
Time point: 1621.0 | stress: 16.0
Time point: 1714.0 | correctWork: 16.0
Time point: 1714.0 | stress: 17.0
Time point: 1883.0 | correctWork: 17.0
Time point: 1883.0 | stress: 18.0
Time point: 1990.0 | correctWork: 18.0
Time point: 1990.0 | stress: 19.0
Time point: 2083.0 | correctWork: 19.0
Time point: 2083.0 | stress: 20.0
