Time point: 122.0 | PatientsSeen: 1.0
Time point: 172.0 | PatientsSeen: 2.0
Time point: 215.0 | PatientsSeen: 3.0
Time point: 257.0 | PatientsSeen: 4.0
Time point: 300.0 | PatientsSeen: 5.0
Time point: 342.0 | PatientsSeen: 6.0
Time point: 402.0 | PatientsSeen: 7.0
Time point: 467.0 | PatientsSeen: 8.0
Time point: 529.0 | PatientsSeen: 9.0
Time point: 593.0 | PatientsSeen: 10.0
Time point: 654.0 | PatientsSeen: 11.0
Time point: 717.0 | PatientsSeen: 12.0
Time point: 782.0 | PatientsSeen: 13.0
Time point: 844.0 | PatientsSeen: 14.0
Time point: 907.0 | PatientsSeen: 15.0
Time point: 968.0 | PatientsSeen: 16.0
Time point: 1033.0 | PatientsSeen: 17.0
Time point: 1094.0 | PatientsSeen: 18.0
Time point: 1157.0 | PatientsSeen: 19.0
Time point: 1221.0 | PatientsSeen: 20.0
Time point: 1285.0 | PatientsSeen: 21.0
Time point: 1346.0 | PatientsSeen: 22.0
Time point: 1411.0 | PatientsSeen: 23.0
Time point: 1474.0 | PatientsSeen: 24.0
Time point: 1535.0 | PatientsSeen: 25.0
Time point: 1599.0 | PatientsSeen: 26.0
Time point: 1662.0 | PatientsSeen: 27.0
Time point: 1726.0 | PatientsSeen: 28.0
Time point: 1788.0 | PatientsSeen: 29.0
Time point: 1852.0 | PatientsSeen: 30.0
Time point: 1912.0 | PatientsSeen: 31.0
Time point: 1976.0 | PatientsSeen: 32.0
Time point: 2039.0 | PatientsSeen: 33.0
Time point: 2104.0 | PatientsSeen: 34.0
Time point: 2166.0 | PatientsSeen: 35.0
Time point: 2230.0 | PatientsSeen: 36.0
Time point: 2293.0 | PatientsSeen: 37.0
Time point: 2356.0 | PatientsSeen: 38.0
Time point: 2417.0 | PatientsSeen: 39.0
Time point: 2480.0 | PatientsSeen: 40.0
Time point: 2545.0 | PatientsSeen: 41.0
Time point: 2608.0 | PatientsSeen: 42.0
Time point: 2669.0 | PatientsSeen: 43.0
Time point: 2734.0 | PatientsSeen: 44.0
Time point: 2796.0 | PatientsSeen: 45.0
Time point: 2858.0 | PatientsSeen: 46.0
Time point: 2923.0 | PatientsSeen: 47.0
Time point: 2986.0 | PatientsSeen: 48.0
Time point: 3048.0 | PatientsSeen: 49.0
Time point: 3110.0 | PatientsSeen: 50.0
Time point: 3172.0 | PatientsSeen: 51.0
Time point: 3237.0 | PatientsSeen: 52.0
Time point: 3301.0 | PatientsSeen: 53.0
Time point: 3363.0 | PatientsSeen: 54.0
Time point: 3428.0 | PatientsSeen: 55.0
Time point: 3487.0 | PatientsSeen: 56.0
Time point: 3553.0 | PatientsSeen: 57.0
Time point: 3615.0 | PatientsSeen: 58.0
Time point: 3678.0 | PatientsSeen: 59.0
Time point: 3741.0 | PatientsSeen: 60.0
Time point: 3804.0 | PatientsSeen: 61.0
Time point: 3869.0 | PatientsSeen: 62.0
Time point: 3930.0 | PatientsSeen: 63.0
Time point: 3994.0 | PatientsSeen: 64.0
Time point: 4056.0 | PatientsSeen: 65.0
Time point: 4118.0 | PatientsSeen: 66.0
Time point: 4183.0 | PatientsSeen: 67.0
Time point: 4245.0 | PatientsSeen: 68.0
Time point: 4309.0 | PatientsSeen: 69.0
Time point: 4371.0 | PatientsSeen: 70.0
Time point: 4435.0 | PatientsSeen: 71.0
Time point: 4497.0 | PatientsSeen: 72.0
Time point: 4560.0 | PatientsSeen: 73.0
Time point: 4623.0 | PatientsSeen: 74.0
Time point: 4686.0 | PatientsSeen: 75.0
Time point: 4750.0 | PatientsSeen: 76.0
Time point: 4812.0 | PatientsSeen: 77.0
Time point: 4874.0 | PatientsSeen: 78.0
Time point: 4940.0 | PatientsSeen: 79.0
Time point: 5000.0 | PatientsSeen: 80.0
Time point: 5065.0 | PatientsSeen: 81.0
Time point: 5128.0 | PatientsSeen: 82.0
