Time point: 216.0 | PatientsSeen: 1.0
Time point: 402.0 | PatientsSeen: 2.0
Time point: 588.0 | PatientsSeen: 3.0
Time point: 774.0 | PatientsSeen: 4.0
Time point: 960.0 | PatientsSeen: 5.0
Time point: 1146.0 | PatientsSeen: 6.0
Time point: 1332.0 | PatientsSeen: 7.0
Time point: 1518.0 | PatientsSeen: 8.0
Time point: 1704.0 | PatientsSeen: 9.0
Time point: 1890.0 | PatientsSeen: 10.0
Time point: 2076.0 | PatientsSeen: 11.0
Time point: 2262.0 | PatientsSeen: 12.0
Time point: 2448.0 | PatientsSeen: 13.0
Time point: 2634.0 | PatientsSeen: 14.0
Time point: 2820.0 | PatientsSeen: 15.0
Time point: 3006.0 | PatientsSeen: 16.0
Time point: 3192.0 | PatientsSeen: 17.0
Time point: 3378.0 | PatientsSeen: 18.0
