Time point: 181.0 | PatientsSeen: 1.0
Time point: 231.0 | PatientsSeen: 2.0
Time point: 282.0 | PatientsSeen: 3.0
Time point: 332.0 | PatientsSeen: 4.0
Time point: 382.0 | PatientsSeen: 5.0
Time point: 432.0 | PatientsSeen: 6.0
Time point: 481.0 | PatientsSeen: 7.0
Time point: 533.0 | PatientsSeen: 8.0
Time point: 583.0 | PatientsSeen: 9.0
Time point: 633.0 | PatientsSeen: 10.0
Time point: 685.0 | PatientsSeen: 11.0
Time point: 736.0 | PatientsSeen: 12.0
Time point: 787.0 | PatientsSeen: 13.0
Time point: 837.0 | PatientsSeen: 14.0
Time point: 886.0 | PatientsSeen: 15.0
Time point: 937.0 | PatientsSeen: 16.0
Time point: 987.0 | PatientsSeen: 17.0
Time point: 1039.0 | PatientsSeen: 18.0
Time point: 1089.0 | PatientsSeen: 19.0
Time point: 1140.0 | PatientsSeen: 20.0
Time point: 1192.0 | PatientsSeen: 21.0
Time point: 1243.0 | PatientsSeen: 22.0
Time point: 1293.0 | PatientsSeen: 23.0
Time point: 1342.0 | PatientsSeen: 24.0
Time point: 1393.0 | PatientsSeen: 25.0
Time point: 1444.0 | PatientsSeen: 26.0
Time point: 1494.0 | PatientsSeen: 27.0
Time point: 1544.0 | PatientsSeen: 28.0
