Time point: 243.0 | PatientsSeen: 1.0
Time point: 453.0 | PatientsSeen: 2.0
Time point: 270.0 | PatientsSeen: 1.0
Time point: 480.0 | PatientsSeen: 2.0
Time point: 693.0 | PatientsSeen: 3.0
Time point: 903.0 | PatientsSeen: 4.0
Time point: 1115.0 | PatientsSeen: 5.0
Time point: 1325.0 | PatientsSeen: 6.0
Time point: 1535.0 | PatientsSeen: 7.0
Time point: 1750.0 | PatientsSeen: 8.0
Time point: 1961.0 | PatientsSeen: 9.0
Time point: 2172.0 | PatientsSeen: 10.0
Time point: 2384.0 | PatientsSeen: 11.0
Time point: 2595.0 | PatientsSeen: 12.0
