Time point: 48.0 | Happiness: 1.0
Time point: 74.0 | Happiness: 2.0
Time point: 90.0 | Happiness: 3.0
Time point: 116.0 | Happiness: 4.0
Time point: 132.0 | Happiness: 5.0
Time point: 163.0 | Happiness: 6.0
Time point: 179.0 | Happiness: 7.0
Time point: 207.0 | Happiness: 8.0
Time point: 224.0 | Happiness: 9.0
Time point: 255.0 | Happiness: 10.0
Time point: 271.0 | Happiness: 11.0
Time point: 290.0 | Happiness: 12.0
Time point: 305.0 | Happiness: 13.0
Time point: 323.0 | Happiness: 14.0
Time point: 339.0 | Happiness: 15.0
Time point: 369.0 | Happiness: 16.0
Time point: 384.0 | Happiness: 17.0
Time point: 400.0 | Happiness: 18.0
Time point: 416.0 | Happiness: 19.0
Time point: 434.0 | Happiness: 20.0
Time point: 458.0 | Happiness: 21.0
Time point: 488.0 | Happiness: 22.0
Time point: 504.0 | Happiness: 23.0
Time point: 520.0 | Happiness: 24.0
Time point: 536.0 | Happiness: 25.0
Time point: 561.0 | Happiness: 26.0
Time point: 577.0 | Happiness: 27.0
Time point: 593.0 | Happiness: 28.0
Time point: 609.0 | Happiness: 29.0
Time point: 626.0 | Happiness: 30.0
Time point: 650.0 | Happiness: 31.0
Time point: 666.0 | Happiness: 32.0
Time point: 692.0 | Happiness: 33.0
Time point: 707.0 | Happiness: 34.0
Time point: 730.0 | Happiness: 35.0
Time point: 746.0 | Happiness: 36.0
Time point: 771.0 | Happiness: 37.0
Time point: 801.0 | Happiness: 38.0
Time point: 831.0 | Happiness: 39.0
Time point: 850.0 | Happiness: 40.0
Time point: 866.0 | Happiness: 41.0
Time point: 897.0 | Happiness: 42.0
Time point: 912.0 | Happiness: 43.0
Time point: 945.0 | Happiness: 44.0
Time point: 962.0 | Happiness: 45.0
Time point: 987.0 | Happiness: 46.0
Time point: 1003.0 | Happiness: 47.0
Time point: 1030.0 | Happiness: 48.0
Time point: 1051.0 | Happiness: 49.0
Time point: 1077.0 | Happiness: 50.0
Time point: 1108.0 | Happiness: 51.0
Time point: 1124.0 | Happiness: 52.0
Time point: 1154.0 | Happiness: 53.0
Time point: 1170.0 | Happiness: 54.0
Time point: 1186.0 | Happiness: 55.0
Time point: 1202.0 | Happiness: 56.0
Time point: 1217.0 | Happiness: 57.0
Time point: 1233.0 | Happiness: 58.0
Time point: 1248.0 | Happiness: 59.0
Time point: 1264.0 | Happiness: 60.0
