Time point: 211.0 | PatientsSeen: 1.0
Time point: 254.0 | PatientsSeen: 2.0
Time point: 298.0 | PatientsSeen: 3.0
Time point: 342.0 | PatientsSeen: 4.0
Time point: 401.0 | PatientsSeen: 5.0
Time point: 466.0 | PatientsSeen: 6.0
Time point: 528.0 | PatientsSeen: 7.0
Time point: 591.0 | PatientsSeen: 8.0
Time point: 655.0 | PatientsSeen: 9.0
Time point: 700.0 | PatientsSeen: 10.0
Time point: 760.0 | PatientsSeen: 11.0
Time point: 822.0 | PatientsSeen: 12.0
Time point: 884.0 | PatientsSeen: 13.0
Time point: 926.0 | PatientsSeen: 14.0
Time point: 974.0 | PatientsSeen: 15.0
Time point: 1033.0 | PatientsSeen: 16.0
Time point: 1095.0 | PatientsSeen: 17.0
Time point: 1159.0 | PatientsSeen: 18.0
Time point: 1221.0 | PatientsSeen: 19.0
Time point: 1284.0 | PatientsSeen: 20.0
Time point: 1346.0 | PatientsSeen: 21.0
Time point: 1409.0 | PatientsSeen: 22.0
Time point: 1474.0 | PatientsSeen: 23.0
Time point: 1536.0 | PatientsSeen: 24.0
Time point: 1599.0 | PatientsSeen: 25.0
Time point: 1662.0 | PatientsSeen: 26.0
Time point: 1726.0 | PatientsSeen: 27.0
Time point: 1789.0 | PatientsSeen: 28.0
Time point: 1851.0 | PatientsSeen: 29.0
Time point: 1915.0 | PatientsSeen: 30.0
Time point: 1976.0 | PatientsSeen: 31.0
Time point: 2040.0 | PatientsSeen: 32.0
Time point: 2104.0 | PatientsSeen: 33.0
Time point: 2167.0 | PatientsSeen: 34.0
Time point: 2230.0 | PatientsSeen: 35.0
Time point: 2291.0 | PatientsSeen: 36.0
Time point: 2356.0 | PatientsSeen: 37.0
Time point: 2419.0 | PatientsSeen: 38.0
Time point: 2482.0 | PatientsSeen: 39.0
Time point: 2543.0 | PatientsSeen: 40.0
Time point: 2609.0 | PatientsSeen: 41.0
Time point: 2671.0 | PatientsSeen: 42.0
Time point: 2734.0 | PatientsSeen: 43.0
Time point: 2796.0 | PatientsSeen: 44.0
Time point: 2859.0 | PatientsSeen: 45.0
Time point: 2923.0 | PatientsSeen: 46.0
Time point: 2985.0 | PatientsSeen: 47.0
Time point: 3047.0 | PatientsSeen: 48.0
Time point: 3113.0 | PatientsSeen: 49.0
Time point: 3173.0 | PatientsSeen: 50.0
Time point: 3238.0 | PatientsSeen: 51.0
Time point: 3301.0 | PatientsSeen: 52.0
Time point: 3363.0 | PatientsSeen: 53.0
Time point: 3427.0 | PatientsSeen: 54.0
Time point: 3489.0 | PatientsSeen: 55.0
Time point: 3553.0 | PatientsSeen: 56.0
Time point: 3615.0 | PatientsSeen: 57.0
Time point: 3677.0 | PatientsSeen: 58.0
Time point: 3741.0 | PatientsSeen: 59.0
Time point: 3803.0 | PatientsSeen: 60.0
Time point: 3867.0 | PatientsSeen: 61.0
Time point: 3931.0 | PatientsSeen: 62.0
Time point: 3994.0 | PatientsSeen: 63.0
Time point: 4057.0 | PatientsSeen: 64.0
Time point: 4118.0 | PatientsSeen: 65.0
Time point: 4181.0 | PatientsSeen: 66.0
Time point: 4247.0 | PatientsSeen: 67.0
Time point: 4308.0 | PatientsSeen: 68.0
Time point: 4371.0 | PatientsSeen: 69.0
Time point: 4434.0 | PatientsSeen: 70.0
Time point: 4498.0 | PatientsSeen: 71.0
Time point: 4560.0 | PatientsSeen: 72.0
Time point: 4624.0 | PatientsSeen: 73.0
Time point: 4685.0 | PatientsSeen: 74.0
Time point: 4750.0 | PatientsSeen: 75.0
Time point: 4813.0 | PatientsSeen: 76.0
Time point: 4876.0 | PatientsSeen: 77.0
Time point: 4939.0 | PatientsSeen: 78.0
Time point: 5002.0 | PatientsSeen: 79.0
Time point: 5065.0 | PatientsSeen: 80.0
Time point: 5128.0 | PatientsSeen: 81.0
Time point: 5189.0 | PatientsSeen: 82.0
Time point: 5252.0 | PatientsSeen: 83.0
Time point: 5316.0 | PatientsSeen: 84.0
Time point: 5380.0 | PatientsSeen: 85.0
Time point: 5443.0 | PatientsSeen: 86.0
Time point: 5506.0 | PatientsSeen: 87.0
Time point: 5569.0 | PatientsSeen: 88.0
Time point: 5631.0 | PatientsSeen: 89.0
Time point: 5695.0 | PatientsSeen: 90.0
Time point: 5759.0 | PatientsSeen: 91.0
Time point: 5819.0 | PatientsSeen: 92.0
Time point: 5883.0 | PatientsSeen: 93.0
Time point: 5946.0 | PatientsSeen: 94.0
Time point: 6008.0 | PatientsSeen: 95.0
Time point: 6071.0 | PatientsSeen: 96.0
Time point: 6134.0 | PatientsSeen: 97.0
Time point: 6199.0 | PatientsSeen: 98.0
Time point: 6261.0 | PatientsSeen: 99.0
Time point: 6325.0 | PatientsSeen: 100.0
Time point: 6388.0 | PatientsSeen: 101.0
Time point: 6449.0 | PatientsSeen: 102.0
Time point: 6512.0 | PatientsSeen: 103.0
Time point: 6576.0 | PatientsSeen: 104.0
Time point: 6638.0 | PatientsSeen: 105.0
Time point: 6702.0 | PatientsSeen: 106.0
Time point: 6766.0 | PatientsSeen: 107.0
Time point: 6829.0 | PatientsSeen: 108.0
Time point: 6890.0 | PatientsSeen: 109.0
Time point: 6955.0 | PatientsSeen: 110.0
Time point: 7018.0 | PatientsSeen: 111.0
Time point: 7080.0 | PatientsSeen: 112.0
Time point: 7143.0 | PatientsSeen: 113.0
Time point: 7207.0 | PatientsSeen: 114.0
Time point: 7269.0 | PatientsSeen: 115.0
Time point: 7332.0 | PatientsSeen: 116.0
Time point: 7394.0 | PatientsSeen: 117.0
Time point: 7459.0 | PatientsSeen: 118.0
Time point: 7522.0 | PatientsSeen: 119.0
Time point: 7584.0 | PatientsSeen: 120.0
Time point: 7648.0 | PatientsSeen: 121.0
Time point: 7709.0 | PatientsSeen: 122.0
Time point: 7773.0 | PatientsSeen: 123.0
Time point: 7835.0 | PatientsSeen: 124.0
