Time point: 90.0 | PatientsSeen: 1.0
Time point: 132.0 | PatientsSeen: 2.0
Time point: 173.0 | PatientsSeen: 3.0
Time point: 215.0 | PatientsSeen: 4.0
Time point: 258.0 | PatientsSeen: 5.0
Time point: 299.0 | PatientsSeen: 6.0
Time point: 339.0 | PatientsSeen: 7.0
Time point: 381.0 | PatientsSeen: 8.0
Time point: 423.0 | PatientsSeen: 9.0
Time point: 465.0 | PatientsSeen: 10.0
Time point: 506.0 | PatientsSeen: 11.0
Time point: 549.0 | PatientsSeen: 12.0
Time point: 591.0 | PatientsSeen: 13.0
Time point: 632.0 | PatientsSeen: 14.0
Time point: 675.0 | PatientsSeen: 15.0
Time point: 715.0 | PatientsSeen: 16.0
Time point: 756.0 | PatientsSeen: 17.0
Time point: 797.0 | PatientsSeen: 18.0
Time point: 839.0 | PatientsSeen: 19.0
Time point: 881.0 | PatientsSeen: 20.0
Time point: 924.0 | PatientsSeen: 21.0
Time point: 966.0 | PatientsSeen: 22.0
Time point: 1008.0 | PatientsSeen: 23.0
