Time point: 226.0 | PatientsSeen: 1.0
Time point: 437.0 | PatientsSeen: 2.0
Time point: 646.0 | PatientsSeen: 3.0
Time point: 855.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1274.0 | PatientsSeen: 6.0
Time point: 1485.0 | PatientsSeen: 7.0
Time point: 1694.0 | PatientsSeen: 8.0
Time point: 1903.0 | PatientsSeen: 9.0
Time point: 2112.0 | PatientsSeen: 10.0
Time point: 2321.0 | PatientsSeen: 11.0
Time point: 2531.0 | PatientsSeen: 12.0
Time point: 2742.0 | PatientsSeen: 13.0
Time point: 2951.0 | PatientsSeen: 14.0
