Time point: 184.0 | PatientsSeen: 1.0
Time point: 238.0 | PatientsSeen: 2.0
Time point: 291.0 | PatientsSeen: 3.0
Time point: 339.0 | PatientsSeen: 4.0
Time point: 392.0 | PatientsSeen: 5.0
Time point: 440.0 | PatientsSeen: 6.0
Time point: 488.0 | PatientsSeen: 7.0
Time point: 537.0 | PatientsSeen: 8.0
Time point: 584.0 | PatientsSeen: 9.0
Time point: 635.0 | PatientsSeen: 10.0
Time point: 686.0 | PatientsSeen: 11.0
Time point: 733.0 | PatientsSeen: 12.0
Time point: 785.0 | PatientsSeen: 13.0
Time point: 833.0 | PatientsSeen: 14.0
Time point: 881.0 | PatientsSeen: 15.0
Time point: 934.0 | PatientsSeen: 16.0
Time point: 996.0 | PatientsSeen: 17.0
Time point: 1059.0 | PatientsSeen: 18.0
Time point: 1124.0 | PatientsSeen: 19.0
Time point: 1185.0 | PatientsSeen: 20.0
Time point: 1247.0 | PatientsSeen: 21.0
Time point: 1311.0 | PatientsSeen: 22.0
Time point: 1374.0 | PatientsSeen: 23.0
Time point: 1438.0 | PatientsSeen: 24.0
Time point: 1501.0 | PatientsSeen: 25.0
Time point: 1563.0 | PatientsSeen: 26.0
Time point: 1626.0 | PatientsSeen: 27.0
Time point: 1688.0 | PatientsSeen: 28.0
Time point: 1752.0 | PatientsSeen: 29.0
Time point: 1816.0 | PatientsSeen: 30.0
Time point: 1878.0 | PatientsSeen: 31.0
Time point: 1942.0 | PatientsSeen: 32.0
Time point: 2006.0 | PatientsSeen: 33.0
Time point: 2066.0 | PatientsSeen: 34.0
Time point: 2131.0 | PatientsSeen: 35.0
Time point: 2194.0 | PatientsSeen: 36.0
Time point: 2256.0 | PatientsSeen: 37.0
Time point: 2320.0 | PatientsSeen: 38.0
Time point: 2384.0 | PatientsSeen: 39.0
Time point: 2447.0 | PatientsSeen: 40.0
Time point: 2510.0 | PatientsSeen: 41.0
Time point: 2571.0 | PatientsSeen: 42.0
Time point: 2634.0 | PatientsSeen: 43.0
Time point: 2698.0 | PatientsSeen: 44.0
Time point: 2760.0 | PatientsSeen: 45.0
Time point: 2824.0 | PatientsSeen: 46.0
Time point: 2885.0 | PatientsSeen: 47.0
Time point: 2949.0 | PatientsSeen: 48.0
Time point: 3010.0 | PatientsSeen: 49.0
Time point: 3076.0 | PatientsSeen: 50.0
Time point: 3139.0 | PatientsSeen: 51.0
Time point: 3202.0 | PatientsSeen: 52.0
Time point: 3266.0 | PatientsSeen: 53.0
Time point: 3327.0 | PatientsSeen: 54.0
Time point: 3390.0 | PatientsSeen: 55.0
Time point: 3454.0 | PatientsSeen: 56.0
Time point: 3515.0 | PatientsSeen: 57.0
Time point: 3579.0 | PatientsSeen: 58.0
Time point: 3641.0 | PatientsSeen: 59.0
Time point: 3704.0 | PatientsSeen: 60.0
Time point: 3770.0 | PatientsSeen: 61.0
Time point: 3832.0 | PatientsSeen: 62.0
Time point: 3893.0 | PatientsSeen: 63.0
Time point: 3957.0 | PatientsSeen: 64.0
Time point: 4021.0 | PatientsSeen: 65.0
Time point: 4082.0 | PatientsSeen: 66.0
Time point: 4147.0 | PatientsSeen: 67.0
Time point: 246.0 | PatientsSeen: 1.0
Time point: 432.0 | PatientsSeen: 2.0
Time point: 617.0 | PatientsSeen: 3.0
Time point: 803.0 | PatientsSeen: 4.0
Time point: 989.0 | PatientsSeen: 5.0
Time point: 1175.0 | PatientsSeen: 6.0
Time point: 1361.0 | PatientsSeen: 7.0
Time point: 1547.0 | PatientsSeen: 8.0
Time point: 1733.0 | PatientsSeen: 9.0
Time point: 1919.0 | PatientsSeen: 10.0
Time point: 2104.0 | PatientsSeen: 11.0
Time point: 2289.0 | PatientsSeen: 12.0
Time point: 2475.0 | PatientsSeen: 13.0
Time point: 2661.0 | PatientsSeen: 14.0
Time point: 2846.0 | PatientsSeen: 15.0
